step_time,total_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
173.0,14,14.0,1729.0,40,35
174.0,15,15.0,1744.0,41,35
175.0,13,13.0,1757.0,42,35
176.0,16,16.0,1773.0,42,35
177.0,15,15.0,1788.0,44,35
178.0,17,17.0,1805.0,44,36
179.0,15,15.0,1820.0,44,36
180.0,13,13.0,1833.0,45,36
181.0,14,14.0,1847.0,45,36
182.0,14,14.0,1861.0,45,36
183.0,14,14.0,1875.0,46,36
184.0,13,13.0,1888.0,47,36
185.0,13,13.0,1901.0,47,36
186.0,14,14.0,1915.0,49,36
187.0,14,14.0,1929.0,49,36
188.0,15,15.0,1944.0,49,36
189.0,14,14.0,1958.0,50,36
190.0,14,14.0,1972.0,50,36
191.0,15,15.0,1987.0,51,36
192.0,18,18.0,2005.0,51,36
193.0,17,17.0,2022.0,51,36
194.0,13,13.0,2035.0,51,36
195.0,13,13.0,2048.0,51,36
196.0,12,12.0,2060.0,51,36
197.0,11,11.0,2071.0,51,36
198.0,12,12.0,2083.0,52,36
199.0,12,12.0,2095.0,53,37
200.0,13,13.0,2108.0,53,38
201.0,15,15.0,2123.0,55,38
202.0,15,15.0,2138.0,55,39
203.0,18,18.0,2156.0,55,40
204.0,18,18.0,2174.0,56,40
205.0,20,20.0,2194.0,57,40
206.0,20,20.0,2214.0,57,42
207.0,20,20.0,2234.0,58,42
208.0,21,21.0,2255.0,58,42
209.0,22,22.0,2277.0,58,43
210.0,25,25.0,2302.0,58,43
211.0,24,24.0,2326.0,58,43
212.0,26,26.0,2352.0,58,43
213.0,26,26.0,2378.0,58,43
214.0,28,28.0,2406.0,58,43
215.0,27,27.0,2433.0,58,43
216.0,30,30.0,2463.0,58,43
217.0,30,30.0,2493.0,58,43
218.0,34,34.0,2527.0,58,43
219.0,33,33.0,2560.0,58,43
220.0,35,35.0,2595.0,58,43
221.0,35,35.0,2630.0,58,43
222.0,37,37.0,2667.0,58,43
223.0,35,35.0,2702.0,58,43
224.0,34,34.0,2736.0,58,43
225.0,34,34.0,2770.0,58,43
226.0,35,35.0,2805.0,58,43
227.0,34,34.0,2839.0,59,43
228.0,37,37.0,2876.0,59,44
229.0,36,36.0,2912.0,59,44
230.0,37,37.0,2949.0,59,44
231.0,36,36.0,2985.0,59,44
232.0,38,38.0,3023.0,60,44
233.0,40,41.0,3064.0,60,44
234.0,41,41.0,3105.0,60,44
235.0,40,40.0,3145.0,60,44
236.0,40,40.0,3185.0,60,44
237.0,41,41.0,3226.0,60,44
238.0,41,41.0,3267.0,60,44
239.0,39,39.0,3306.0,60,44
240.0,36,36.0,3342.0,60,44
241.0,34,34.0,3376.0,60,44
242.0,35,35.0,3411.0,60,45
243.0,30,30.0,3441.0,61,46
244.0,28,28.0,3469.0,62,46
245.0,23,23.0,3492.0,62,46
246.0,21,21.0,3513.0,63,47
247.0,23,23.0,3536.0,64,48
248.0,19,19.0,3555.0,64,48
249.0,22,22.0,3577.0,65,50
250.0,21,21.0,3598.0,66,50
251.0,18,18.0,3616.0,67,50
252.0,19,19.0,3635.0,68,52
253.0,18,18.0,3653.0,68,52
254.0,18,18.0,3671.0,69,53
255.0,16,16.0,3687.0,69,54
256.0,14,14.0,3701.0,70,54
257.0,11,11.0,3712.0,71,55
258.0,10,10.0,3722.0,72,56
259.0,10,10.0,3732.0,72,57
260.0,7,7.0,3739.0,73,58
261.0,8,16.0,3755.0,74,58
262.0,8,8.0,3763.0,74,58
263.0,8,8.0,3771.0,75,60
264.0,6,6.0,3777.0,76,60
265.0,6,6.0,3783.0,76,62
266.0,7,7.0,3790.0,77,62
267.0,7,7.0,3797.0,78,62
268.0,7,7.0,3804.0,78,63
269.0,7,8.0,3812.0,78,63
270.0,7,39.0,3851.0,78,63
271.0,9,9.0,3860.0,79,64
272.0,9,18.0,3878.0,79,65
273.0,9,36.0,3914.0,79,65
274.0,10,10.0,3924.0,80,66
275.0,10,14.0,3938.0,80,66
276.0,10,10.0,3948.0,81,66
277.0,10,38.0,3986.0,81,68
278.0,10,14.0,4000.0,81,68
279.0,11,11.0,4011.0,82,68
280.0,11,37.0,4048.0,82,68
281.0,11,11.0,4059.0,83,69
282.0,12,12.0,4071.0,83,69
283.0,12,37.0,4108.0,83,70
284.0,12,12.0,4120.0,83,70
285.0,12,36.0,4156.0,84,70
286.0,12,12.0,4168.0,84,71
287.0,12,12.0,4180.0,85,71
288.0,12,14.0,4194.0,85,72
289.0,12,12.0,4206.0,86,73
290.0,13,13.0,4219.0,87,73
291.0,12,12.0,4231.0,87,73
292.0,13,13.0,4244.0,88,73
293.0,13,13.0,4257.0,88,74
294.0,13,13.0,4270.0,88,74
295.0,14,14.0,4284.0,90,74
296.0,14,14.0,4298.0,90,74
297.0,13,13.0,4311.0,90,74
298.0,12,12.0,4323.0,90,74
299.0,13,13.0,4336.0,90,74
300.0,14,14.0,4350.0,90,74
301.0,17,17.0,4367.0,91,74
302.0,15,15.0,4382.0,92,74
303.0,17,17.0,4399.0,92,74
304.0,18,18.0,4417.0,93,74
305.0,19,19.0,4436.0,93,74
306.0,21,21.0,4457.0,93,74
307.0,22,22.0,4479.0,94,74
308.0,22,22.0,4501.0,94,74
309.0,22,22.0,4523.0,94,74
310.0,22,22.0,4545.0,94,74
311.0,24,24.0,4569.0,94,74
312.0,27,27.0,4596.0,94,74
313.0,24,23.0,4619.0,94,74
314.0,24,24.0,4643.0,94,74
315.0,24,24.0,4667.0,94,74
316.0,22,22.0,4689.0,95,75
317.0,25,25.0,4714.0,96,76
318.0,24,24.0,4738.0,96,77
319.0,23,23.0,4761.0,97,78
320.0,27,27.0,4788.0,98,78
321.0,27,27.0,4815.0,98,78
322.0,29,29.0,4844.0,99,79
323.0,30,30.0,4874.0,100,80
324.0,29,29.0,4903.0,100,80
325.0,31,31.0,4934.0,100,80
326.0,32,32.0,4966.0,101,81
327.0,34,34.0,5000.0,101,81
328.0,34,34.0,5034.0,101,81
329.0,35,35.0,5069.0,101,81
330.0,39,39.0,5108.0,101,81
331.0,40,40.0,5148.0,101,81
332.0,41,41.0,5189.0,101,81
333.0,43,43.0,5232.0,101,81
334.0,44,44.0,5276.0,101,81
335.0,45,45.0,5321.0,101,81
336.0,45,45.0,5366.0,101,81
337.0,46,46.0,5412.0,101,81
338.0,45,45.0,5457.0,101,81
339.0,43,43.0,5500.0,101,81
340.0,41,41.0,5541.0,101,81
341.0,41,41.0,5582.0,101,81
342.0,42,42.0,5624.0,101,82
343.0,42,42.0,5666.0,101,82
344.0,42,42.0,5708.0,102,83
345.0,42,42.0,5750.0,102,84
346.0,43,43.0,5793.0,102,84
347.0,43,43.0,5836.0,102,86
348.0,43,43.0,5879.0,102,86
349.0,43,43.0,5922.0,102,86
350.0,44,44.0,5966.0,102,87
351.0,41,41.0,6007.0,102,87
352.0,40,40.0,6047.0,102,87
353.0,36,37.0,6084.0,102,87
354.0,34,34.0,6118.0,102,88
355.0,32,32.0,6150.0,103,89
356.0,31,31.0,6181.0,103,89
357.0,30,30.0,6211.0,104,90
358.0,29,29.0,6240.0,105,91
359.0,26,26.0,6266.0,105,91
360.0,24,24.0,6290.0,105,91
361.0,24,24.0,6314.0,106,92
362.0,22,22.0,6336.0,106,92
363.0,21,21.0,6357.0,107,93
364.0,19,19.0,6376.0,108,94
365.0,20,20.0,6396.0,108,94
366.0,16,16.0,6412.0,109,95
367.0,17,17.0,6429.0,110,96
368.0,12,12.0,6441.0,110,97
369.0,14,14.0,6455.0,111,97
370.0,13,13.0,6468.0,112,98
371.0,11,11.0,6479.0,112,99
372.0,10,48.0,6527.0,113,99
373.0,11,11.0,6538.0,114,101
374.0,9,9.0,6547.0,114,101
375.0,9,9.0,6556.0,114,101
376.0,9,9.0,6565.0,114,102
377.0,10,10.0,6575.0,116,103
378.0,8,8.0,6583.0,116,103
379.0,8,8.0,6591.0,118,104
380.0,8,8.0,6599.0,118,104
381.0,8,8.0,6607.0,118,105
382.0,8,8.0,6615.0,119,105
383.0,8,38.0,6653.0,120,105
384.0,8,16.0,6669.0,120,106
385.0,8,9.0,6678.0,121,106
386.0,9,9.0,6687.0,122,107
387.0,9,9.0,6696.0,122,108
388.0,9,9.0,6705.0,124,108
389.0,10,41.0,6746.0,124,109
390.0,10,17.0,6763.0,126,109
391.0,8,8.0,6771.0,126,109
392.0,8,8.0,6779.0,126,110
393.0,8,38.0,6817.0,126,110
394.0,9,14.0,6831.0,128,111
395.0,7,7.0,6838.0,128,111
396.0,10,14.0,6852.0,129,112
397.0,9,41.0,6893.0,129,113
398.0,9,9.0,6902.0,129,113
399.0,10,11.0,6913.0,129,113
400.0,10,38.0,6951.0,129,114
401.0,11,11.0,6962.0,129,115
402.0,10,10.0,6972.0,129,116
403.0,8,35.0,7007.0,129,116
404.0,8,8.0,7015.0,129,116
405.0,9,34.0,7049.0,129,117
406.0,10,10.0,7059.0,130,117
407.0,10,10.0,7069.0,130,117
408.0,12,12.0,7081.0,132,118
409.0,10,14.0,7095.0,132,118
410.0,11,11.0,7106.0,132,118
411.0,12,12.0,7118.0,132,119
412.0,13,13.0,7131.0,133,119
413.0,15,15.0,7146.0,133,119
414.0,13,14.0,7160.0,133,119
415.0,14,14.0,7174.0,133,119
416.0,16,16.0,7190.0,133,119
417.0,17,17.0,7207.0,134,119
418.0,18,18.0,7225.0,134,120
419.0,22,22.0,7247.0,135,120
420.0,21,21.0,7268.0,135,120
421.0,22,22.0,7290.0,135,120
422.0,24,24.0,7314.0,135,120
423.0,25,26.0,7340.0,135,120
424.0,27,27.0,7367.0,135,120
425.0,28,28.0,7395.0,135,120
426.0,28,28.0,7423.0,135,120
427.0,29,29.0,7452.0,135,120
428.0,33,33.0,7485.0,135,120
429.0,32,32.0,7517.0,135,120
430.0,32,32.0,7549.0,135,120
431.0,33,33.0,7582.0,136,120
432.0,33,33.0,7615.0,136,120
433.0,34,34.0,7649.0,137,120
434.0,33,33.0,7682.0,137,120
435.0,30,30.0,7712.0,137,120
436.0,31,31.0,7743.0,137,120
437.0,32,32.0,7775.0,137,122
438.0,35,35.0,7810.0,137,122
439.0,34,35.0,7845.0,137,122
440.0,33,33.0,7878.0,137,123
441.0,33,34.0,7912.0,137,124
442.0,31,31.0,7943.0,137,124
443.0,35,35.0,7978.0,138,125
444.0,32,32.0,8010.0,138,126
445.0,32,32.0,8042.0,138,126
446.0,32,32.0,8074.0,139,126
447.0,31,31.0,8105.0,139,126
448.0,32,32.0,8137.0,140,126
449.0,32,32.0,8169.0,141,126
450.0,34,34.0,8203.0,142,126
451.0,33,33.0,8236.0,142,126
452.0,32,32.0,8268.0,142,127
453.0,31,31.0,8299.0,144,127
454.0,30,30.0,8329.0,144,127
455.0,28,28.0,8357.0,145,127
456.0,26,26.0,8383.0,146,127
457.0,29,29.0,8412.0,146,127
458.0,25,25.0,8437.0,147,127
459.0,25,25.0,8462.0,147,127
460.0,24,24.0,8486.0,148,127
461.0,24,47.0,8533.0,149,127
462.0,24,24.0,8557.0,149,127
463.0,23,23.0,8580.0,150,128
464.0,22,22.0,8602.0,151,129
465.0,23,23.0,8625.0,152,129
466.0,24,25.0,8650.0,152,129
467.0,23,23.0,8673.0,153,129
468.0,22,22.0,8695.0,153,130
469.0,21,21.0,8716.0,153,130
470.0,22,22.0,8738.0,153,131
471.0,19,19.0,8757.0,153,131
472.0,18,18.0,8775.0,155,131
473.0,17,17.0,8792.0,155,131
474.0,18,41.0,8833.0,155,131
475.0,14,14.0,8847.0,156,133
476.0,17,17.0,8864.0,156,133
477.0,18,18.0,8882.0,156,133
478.0,16,37.0,8919.0,157,135
479.0,13,13.0,8932.0,157,135
480.0,13,31.0,8963.0,157,136
481.0,12,12.0,8975.0,157,137
482.0,15,15.0,8990.0,157,138
483.0,12,12.0,9002.0,159,138
484.0,14,29.0,9031.0,159,139
485.0,16,16.0,9047.0,159,140
486.0,14,14.0,9061.0,160,141
487.0,14,14.0,9075.0,160,142
488.0,14,27.0,9102.0,160,142
489.0,15,15.0,9117.0,160,143
490.0,17,17.0,9134.0,160,143
491.0,15,16.0,9150.0,160,145
492.0,17,17.0,9167.0,160,145
493.0,17,24.0,9191.0,161,146
494.0,18,18.0,9209.0,161,146
495.0,17,17.0,9226.0,161,147
496.0,17,17.0,9243.0,161,148
497.0,18,18.0,9261.0,161,148
498.0,20,25.0,9286.0,161,149
499.0,20,20.0,9306.0,161,150
500.0,21,22.0,9328.0,161,150
501.0,20,20.0,9348.0,161,151
502.0,20,20.0,9368.0,161,152
503.0,20,24.0,9392.0,161,152
504.0,21,21.0,9413.0,161,152
505.0,22,22.0,9435.0,161,153
506.0,22,22.0,9457.0,162,153
507.0,24,24.0,9481.0,162,153
508.0,24,25.0,9506.0,162,154
509.0,24,24.0,9530.0,163,154
510.0,26,26.0,9556.0,163,154
511.0,25,25.0,9581.0,163,155
512.0,27,27.0,9608.0,163,155
513.0,25,25.0,9633.0,163,155
514.0,26,26.0,9659.0,163,156
515.0,26,26.0,9685.0,163,157
516.0,27,27.0,9712.0,163,158
517.0,28,28.0,9740.0,163,158
518.0,26,26.0,9766.0,163,158
519.0,24,24.0,9790.0,163,159
520.0,23,22.0,9812.0,163,160
521.0,21,21.0,9833.0,164,160
522.0,20,20.0,9853.0,165,160
523.0,22,22.0,9875.0,165,160
524.0,18,18.0,9893.0,166,160
525.0,20,20.0,9913.0,167,160
526.0,18,18.0,9931.0,167,160
527.0,17,17.0,9948.0,167,160
528.0,17,17.0,9965.0,169,160
529.0,18,18.0,9983.0,169,160
530.0,18,18.0,10001.0,170,160
531.0,16,16.0,10017.0,171,160
532.0,14,14.0,10031.0,171,160
533.0,12,12.0,10043.0,172,160
534.0,13,13.0,10056.0,173,160
535.0,12,12.0,10068.0,174,160
536.0,13,37.0,10105.0,175,162
537.0,14,14.0,10119.0,175,162
538.0,13,13.0,10132.0,176,163
539.0,15,15.0,10147.0,177,164
540.0,15,15.0,10162.0,177,164
541.0,16,16.0,10178.0,178,164
542.0,16,16.0,10194.0,179,166
543.0,16,16.0,10210.0,179,166
544.0,15,15.0,10225.0,180,166
545.0,16,16.0,10241.0,181,166
546.0,15,15.0,10256.0,181,166
547.0,15,15.0,10271.0,182,166
548.0,16,16.0,10287.0,183,166
549.0,16,16.0,10303.0,183,166
550.0,16,16.0,10319.0,184,166
551.0,16,43.0,10362.0,185,166
552.0,16,16.0,10378.0,185,166
553.0,16,16.0,10394.0,186,166
554.0,16,16.0,10410.0,187,166
555.0,17,17.0,10427.0,187,166
556.0,16,44.0,10471.0,188,166
557.0,16,16.0,10487.0,189,166
558.0,15,15.0,10502.0,189,166
559.0,14,14.0,10516.0,191,166
560.0,14,42.0,10558.0,191,166
561.0,14,14.0,10572.0,191,166
562.0,12,39.0,10611.0,193,167
563.0,12,12.0,10623.0,193,167
564.0,12,12.0,10635.0,193,168
565.0,12,12.0,10647.0,195,168
566.0,10,32.0,10679.0,195,169
567.0,11,11.0,10690.0,196,169
568.0,13,13.0,10703.0,196,169
569.0,12,37.0,10740.0,197,170
570.0,11,11.0,10751.0,197,170
571.0,11,33.0,10784.0,198,170
572.0,10,10.0,10794.0,198,170
573.0,11,11.0,10805.0,198,170
574.0,7,28.0,10833.0,199,172
575.0,10,10.0,10843.0,199,172
576.0,9,9.0,10852.0,199,173
577.0,8,29.0,10881.0,199,174
578.0,9,9.0,10890.0,199,174
579.0,7,26.0,10916.0,199,174
580.0,8,8.0,10924.0,199,175
581.0,8,8.0,10932.0,200,176
582.0,9,9.0,10941.0,200,177
583.0,9,27.0,10968.0,201,178
584.0,9,9.0,10977.0,202,179
585.0,10,10.0,10987.0,203,179
586.0,11,11.0,10998.0,203,180
587.0,11,30.0,11028.0,203,181
588.0,11,11.0,11039.0,203,181
589.0,11,11.0,11050.0,203,183
590.0,12,32.0,11082.0,203,183
591.0,11,11.0,11093.0,203,183
592.0,12,12.0,11105.0,203,185
593.0,12,29.0,11134.0,203,185
594.0,13,13.0,11147.0,203,185
595.0,13,13.0,11160.0,203,187
596.0,14,32.0,11192.0,204,187
597.0,14,14.0,11206.0,204,187
598.0,14,14.0,11220.0,204,187
599.0,14,14.0,11234.0,204,188
600.0,17,32.0,11266.0,204,188
601.0,16,16.0,11282.0,205,188
602.0,18,18.0,11300.0,205,188
603.0,17,17.0,11317.0,205,188
604.0,17,31.0,11348.0,205,188
605.0,18,18.0,11366.0,205,188
606.0,20,20.0,11386.0,205,188
607.0,21,21.0,11407.0,206,188
608.0,21,21.0,11428.0,206,188
609.0,22,22.0,11450.0,207,188
610.0,24,24.0,11474.0,207,188
611.0,23,23.0,11497.0,207,188
612.0,23,23.0,11520.0,207,188
613.0,23,23.0,11543.0,207,188
614.0,23,23.0,11566.0,207,189
615.0,23,23.0,11589.0,207,190
616.0,23,23.0,11612.0,207,190
617.0,25,25.0,11637.0,207,192
618.0,22,22.0,11659.0,207,192
619.0,23,23.0,11682.0,209,192
620.0,23,23.0,11705.0,209,192
621.0,23,23.0,11728.0,210,192
622.0,23,23.0,11751.0,211,192
623.0,21,21.0,11772.0,211,193
624.0,22,22.0,11794.0,212,193
625.0,22,22.0,11816.0,212,193
626.0,22,22.0,11838.0,212,193
627.0,23,23.0,11861.0,213,193
628.0,25,25.0,11886.0,213,193
629.0,25,25.0,11911.0,213,193
630.0,26,26.0,11937.0,213,193
631.0,25,25.0,11962.0,215,193
632.0,25,25.0,11987.0,215,193
633.0,25,25.0,12012.0,215,193
634.0,25,25.0,12037.0,216,193
635.0,22,22.0,12059.0,216,193
636.0,23,44.0,12103.0,217,193
637.0,22,22.0,12125.0,218,194
638.0,21,21.0,12146.0,218,194
639.0,21,21.0,12167.0,219,194
640.0,19,19.0,12186.0,220,194
641.0,18,18.0,12204.0,220,195
642.0,19,19.0,12223.0,221,196
643.0,19,19.0,12242.0,222,197
644.0,19,19.0,12261.0,222,197
645.0,20,20.0,12281.0,223,197
646.0,18,18.0,12299.0,224,198
647.0,17,17.0,12316.0,224,198
648.0,17,17.0,12333.0,224,198
649.0,15,39.0,12372.0,225,199
650.0,14,14.0,12386.0,226,199
651.0,12,12.0,12398.0,227,199
652.0,12,12.0,12410.0,227,200
653.0,8,28.0,12438.0,227,201
654.0,8,8.0,12446.0,227,201
655.0,8,8.0,12454.0,227,202
656.0,8,26.0,12480.0,227,203
657.0,8,8.0,12488.0,227,204
658.0,7,7.0,12495.0,228,204
659.0,7,24.0,12519.0,228,204
660.0,6,6.0,12525.0,228,206
661.0,6,24.0,12549.0,228,206
662.0,7,7.0,12556.0,229,208
663.0,7,7.0,12563.0,229,208
664.0,8,8.0,12571.0,230,209
665.0,7,24.0,12595.0,230,210
666.0,7,7.0,12602.0,230,210
667.0,8,8.0,12610.0,231,211
668.0,9,9.0,12619.0,231,212
669.0,8,23.0,12642.0,231,212
670.0,9,9.0,12651.0,231,213
671.0,9,9.0,12660.0,231,214
672.0,11,11.0,12671.0,232,214
673.0,11,11.0,12682.0,232,214
674.0,11,20.0,12702.0,232,216
675.0,11,12.0,12714.0,232,216
676.0,12,12.0,12726.0,232,216
677.0,14,21.0,12747.0,232,218
678.0,15,15.0,12762.0,232,218
679.0,15,15.0,12777.0,232,218
680.0,15,19.0,12796.0,232,219
681.0,14,14.0,12810.0,232,219
682.0,15,15.0,12825.0,232,219
683.0,16,16.0,12841.0,232,220
684.0,17,17.0,12858.0,233,220
685.0,15,15.0,12873.0,233,221
686.0,17,17.0,12890.0,233,221
687.0,16,16.0,12906.0,233,221
688.0,17,17.0,12923.0,233,222
689.0,18,18.0,12941.0,233,222
690.0,17,17.0,12958.0,234,222
691.0,19,19.0,12977.0,234,223
692.0,18,18.0,12995.0,234,223
693.0,20,20.0,13015.0,235,223
694.0,20,20.0,13035.0,235,223
695.0,20,20.0,13055.0,235,224
696.0,20,20.0,13075.0,235,224
697.0,19,19.0,13094.0,235,225
698.0,18,18.0,13112.0,235,225
699.0,17,17.0,13129.0,236,226
700.0,16,16.0,13145.0,236,226
701.0,16,16.0,13161.0,236,226
702.0,16,16.0,13177.0,238,228
703.0,15,15.0,13192.0,238,228
704.0,13,13.0,13205.0,239,228
705.0,13,13.0,13218.0,240,228
706.0,14,14.0,13232.0,240,228
707.0,13,13.0,13245.0,241,228
708.0,12,12.0,13257.0,242,228
709.0,13,13.0,13270.0,242,228
710.0,11,11.0,13281.0,243,228
711.0,13,13.0,13294.0,244,228
712.0,14,14.0,13308.0,244,228
713.0,12,12.0,13320.0,246,228
714.0,12,12.0,13332.0,246,228
715.0,10,10.0,13342.0,247,228
716.0,9,9.0,13351.0,248,228
717.0,9,9.0,13360.0,248,228
718.0,7,39.0,13399.0,249,228
719.0,9,9.0,13408.0,250,229
720.0,10,10.0,13418.0,250,230
721.0,9,9.0,13427.0,250,230
722.0,10,10.0,13437.0,251,231
723.0,10,10.0,13447.0,251,232
724.0,12,12.0,13459.0,251,232
725.0,11,11.0,13470.0,252,233
726.0,12,12.0,13482.0,252,233
727.0,11,11.0,13493.0,253,233
728.0,12,39.0,13532.0,254,233
729.0,12,12.0,13544.0,254,233
730.0,12,12.0,13556.0,254,233
731.0,12,12.0,13568.0,254,233
732.0,13,37.0,13605.0,255,233
733.0,12,12.0,13617.0,255,233
734.0,13,13.0,13630.0,255,233
735.0,13,35.0,13665.0,256,233
736.0,13,14.0,13679.0,256,233
737.0,13,13.0,13692.0,257,233
738.0,13,13.0,13705.0,257,233
