(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.210216110019646,44.74656188605108,10.298039215686275,24.31827111984283,10.22037422037422,50.33679833679834,10.28838174273859,24.402489626556015
1.3015852185223924,270.17741941709346,2.0366628219915413,1.9890767752170164,1.2029944545537061,419.8491448429078,1.603557962156299,6.169952307983677
1.1408703776163147,16.437074539500436,1.42711696156676,1.4103463316565248,1.0968110386724352,20.49022071240102,1.2663166910991495,2.483938869614886
10,27,13.0,24,10,27,10.0,25
10,24,10.0,24,10,30,12,24
11,25,10.0,24,10,27,10,25
10,24,11.0,24,12,25,11,25
10,24,10.0,25,10,24,10,24
10,25,10.0,25,11,24,11,24
10,26,13.0,26,12,24,10,24
11,26,11.0,26,12,24,12,30
10,25,10.0,24,10,27,10,24
11,24,10.0,24,12,24,13,25
12,24,10.0,25,10,27,11,29
11,25,10.0,24,11,28,10,25
11,24,10.0,25,10,24,15,26
11,25,10.0,30,10,25,10,24
10,24,12.0,29,10,24,11,29
10,24,12.0,28,11,27,13,26
10,24,10.0,24,10,29,10,29
10,27,11.0,28,10,24,14,24
10,26,10.0,24,10,24,13,24
10,24,10.0,24,10,25,10,25
10,24,10.0,25,11,24,12,27
10,24,11.0,28,20,27,10,24
10,24,11.0,24,10,24,11,25
10,24,10.0,25,10,24,10,25
12,24,10.0,24,10,25,11,24
10,24,11.0,24,10,25,10,24
11,25,10.0,24,11,26,10,24
10,24,11.0,24,10,24,10,24
12,24,10.0,24,10,24,10,25
12,24,10.0,24,10,25,11,26
10,24,10.0,24,12,25,10,24
10,27,10.0,25,14,24,11,24
10,24,10.0,24,11,25,11,24
10,25,10.0,26,10,25,10,24
11,24,10.0,25,10,24,10,24
10,24,13.0,26,10,25,10,25
10,26,10.0,24,10,24,13,25
10,24,10.0,26,13,24,11,24
10,24,10.0,26,10,24,10,24
12,24,10.0,24,11,24,10,25
10,25,11.0,24,10,24,10,24
11,24,10.0,24,10,24,13,24
11,24,11.0,24,10,24,10,24
10,24,13.0,24,10,24,10,24
10,26,12.0,25,12,24,10,24
11,25,11.0,25,10,24,12,24
10,24,12.0,25,10,27,10,24
10,26,10.0,24,13,32,10,37
11,24,10.0,30,10,26,12,25
11,25,12.0,28,11,24,10,26
10,27,13.0,24,11,26,12,24
12,28,10.0,24,18,25,14,24
14,24,10.0,24,12,24,16,24
11,26,14.0,30,10,34,10,25
10,24,10.0,25,10,30,17,24
12,24,15.0,27,10,35,10,24
10,25,10.0,25,10,25,10,24
10,25,10.0,24,10,24,11,24
10,24,11.0,25,10,24,12,24
10,24,12.0,24,11,24,12,24
10,25,10.0,25,10,24,10,24
10,24,10.0,25,10,24,10,24
10,25,10.0,24,10,27,11,24
11,26,10.0,24,10,24,12,26
11,26,10.0,24,10,24,10,24
10,24,10.0,24,11,24,10,24
11,24,11.0,24,10,24,10,24
10,24,10.0,26,10,29,10,24
10,25,10.0,24,14,25,12,27
10,30,10.0,24,11,26,11,39
11,31,12.0,29,10,24,10,24
11,24,11.0,24,10,24,10,24
10,25,10.0,24,10,25,11,25
14,32,10.0,24,10,26,10,30
11,24,11.0,24,14,26,10,28
10,26,12.0,24,17,24,12,25
11,25,14.0,25,10,34,13,31
18,26,13.0,25,11,25,10,36
18,24,15.0,27,10,24,10,24
10,25,18.0,26,10,24,10,25
10,24,10.0,24,10,25,10,24
10,24,11.0,24,10,24,10,24
10,24,10.0,26,10,24,10,24
10,24,10.0,26,10,24,10,24
10,24,10.0,24,10,24,10,25
10,24,10.0,24,10,24,10,24
10,26,10.0,25,10,24,10,24
11,24,10.0,26,10,25,10,25
10,25,10.0,26,11,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,26,10,24,10,24
10,24,11.0,24,12,25,12,38
12,50,13.0,28,10,28,16,33
11,26,11.0,25,11,35,20,27
10,26,14.0,27,12,28,18,26
13,25,21.0,25,10,31,21,26
25,24,10.0,33,16,38,10,27
10,33,11.0,31,10,24,10,24
10,25,10.0,24,10,34,10,24
11,24,10.0,24,12,24,10,24
10,24,11.0,24,10,24,10,26
10,24,10.0,24,10,24,10,24
10,24,12.0,24,10,24,10,24
10,24,11.0,24,10,24,10,24
10,25,10.0,24,10,24,10,24
10,25,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,11.0,24,10,24,10,24
11,24,10.0,26,10,24,10,24
10,24,10.0,24,10,24,11,25
11,24,10.0,24,11,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,11.0,24,10,24,11,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,25,10.0,24,10,25,10,24
10,24,10.0,25,10,25,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
10,24,10.0,24,10,24,10,24
