step_time,total_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
172.0,12,12.0,1894.0,37,34
173.0,13,13.0,1907.0,37,35
174.0,14,14.0,1921.0,37,35
175.0,15,15.0,1936.0,39,35
176.0,16,16.0,1952.0,39,35
177.0,16,16.0,1968.0,40,35
178.0,17,17.0,1985.0,41,35
179.0,15,15.0,2000.0,41,37
180.0,13,13.0,2013.0,41,37
181.0,12,12.0,2025.0,41,37
182.0,12,12.0,2037.0,42,37
183.0,13,13.0,2050.0,43,37
184.0,14,14.0,2064.0,43,37
185.0,16,16.0,2080.0,44,37
186.0,16,16.0,2096.0,44,37
187.0,18,18.0,2114.0,45,37
188.0,18,18.0,2132.0,45,37
189.0,20,20.0,2152.0,45,37
190.0,20,20.0,2172.0,46,37
191.0,22,22.0,2194.0,46,37
192.0,22,22.0,2216.0,47,37
193.0,23,23.0,2239.0,47,37
194.0,21,21.0,2260.0,47,37
195.0,17,17.0,2277.0,47,37
196.0,16,16.0,2293.0,47,37
197.0,16,16.0,2309.0,48,38
198.0,18,18.0,2327.0,49,39
199.0,17,17.0,2344.0,49,39
200.0,20,20.0,2364.0,51,40
201.0,22,22.0,2386.0,51,40
202.0,22,22.0,2408.0,51,41
203.0,23,23.0,2431.0,52,42
204.0,25,25.0,2456.0,53,42
205.0,26,26.0,2482.0,53,43
206.0,26,26.0,2508.0,53,44
207.0,29,29.0,2537.0,54,44
208.0,28,28.0,2565.0,54,44
209.0,30,30.0,2595.0,54,44
210.0,29,29.0,2624.0,54,44
211.0,32,32.0,2656.0,54,44
212.0,32,32.0,2688.0,54,44
213.0,34,34.0,2722.0,54,44
214.0,34,34.0,2756.0,54,44
215.0,34,34.0,2790.0,54,44
216.0,34,34.0,2824.0,54,44
217.0,36,36.0,2860.0,54,44
218.0,37,37.0,2897.0,54,44
219.0,38,38.0,2935.0,54,44
220.0,39,39.0,2974.0,54,44
221.0,39,39.0,3013.0,54,44
222.0,41,41.0,3054.0,54,44
223.0,39,39.0,3093.0,54,44
224.0,37,37.0,3130.0,54,44
225.0,40,40.0,3170.0,54,45
226.0,39,39.0,3209.0,54,45
227.0,40,40.0,3249.0,55,45
228.0,41,41.0,3290.0,55,45
229.0,41,41.0,3331.0,55,45
230.0,41,41.0,3372.0,56,45
231.0,41,41.0,3413.0,56,45
232.0,42,42.0,3455.0,56,46
233.0,41,41.0,3496.0,56,46
234.0,43,43.0,3539.0,56,46
235.0,43,43.0,3582.0,56,47
236.0,43,43.0,3625.0,56,47
237.0,44,44.0,3669.0,56,47
238.0,45,45.0,3714.0,56,48
239.0,43,43.0,3757.0,56,48
240.0,40,40.0,3797.0,56,48
241.0,36,36.0,3833.0,56,48
242.0,33,33.0,3866.0,57,49
243.0,30,30.0,3896.0,57,50
244.0,32,32.0,3928.0,57,50
245.0,31,31.0,3959.0,59,50
246.0,30,30.0,3989.0,59,51
247.0,26,26.0,4015.0,60,52
