step_time,total_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
1.0,0,0.0,1088787.0,0,0
2.0,0,0.0,1088787.0,0,0
3.0,0,0.0,1088787.0,0,0
4.0,0,0.0,1088787.0,0,0
5.0,0,0.0,1088787.0,0,0
6.0,0,0.0,1088787.0,0,0
7.0,0,0.0,1088787.0,0,0
8.0,0,0.0,1088787.0,0,0
9.0,0,0.0,1088787.0,0,0
10.0,0,0.0,1088787.0,0,0
11.0,0,0.0,1088787.0,0,0
12.0,0,0.0,1088787.0,0,0
13.0,0,0.0,1088787.0,0,0
14.0,0,0.0,1088787.0,0,0
15.0,0,-51.0,1088736.0,0,0
16.0,0,-101.0,1088635.0,0,0
17.0,0,-49.0,1088586.0,0,0
18.0,0,-47.0,1088539.0,0,0
19.0,0,0.0,1088539.0,0,0
20.0,0,0.0,1088539.0,0,0
21.0,0,0.0,1088539.0,0,0
22.0,0,-55.0,1088484.0,0,0
23.0,0,0.0,1088484.0,0,1
24.0,0,-47.0,1088437.0,1,1
25.0,0,0.0,1088437.0,1,1
26.0,0,0.0,1088437.0,1,1
27.0,0,0.0,1088437.0,1,1
28.0,0,-41.0,1088396.0,1,1
29.0,2,2.0,1088398.0,1,1
30.0,2,2.0,1088400.0,1,1
31.0,4,-36.0,1088364.0,1,1
32.0,3,3.0,1088367.0,1,1
33.0,2,2.0,1088369.0,2,1
34.0,3,3.0,1088372.0,2,1
35.0,4,4.0,1088376.0,2,2
36.0,4,-29.0,1088347.0,2,2
37.0,4,4.0,1088351.0,2,2
38.0,4,-31.0,1088320.0,3,2
39.0,4,4.0,1088324.0,3,2
40.0,4,4.0,1088328.0,3,2
41.0,4,4.0,1088332.0,4,2
42.0,4,-27.0,1088305.0,4,2
43.0,4,4.0,1088309.0,4,2
44.0,4,-28.0,1088281.0,4,2
45.0,4,-15.0,1088266.0,4,2
46.0,4,-48.0,1088218.0,4,2
47.0,4,-17.0,1088201.0,4,2
48.0,4,4.0,1088205.0,4,3
49.0,4,4.0,1088209.0,4,3
50.0,4,-12.0,1088197.0,5,3
51.0,4,-78.0,1088119.0,5,4
52.0,4,4.0,1088123.0,5,4
53.0,4,-11.0,1088112.0,5,4
54.0,4,-51.0,1088061.0,5,4
55.0,4,4.0,1088065.0,6,4
56.0,4,4.0,1088069.0,6,4
57.0,4,4.0,1088073.0,7,4
58.0,4,4.0,1088077.0,7,4
59.0,6,-45.0,1088032.0,7,4
60.0,8,8.0,1088040.0,7,5
61.0,7,7.0,1088047.0,7,6
62.0,7,-38.0,1088009.0,7,6
63.0,9,9.0,1088018.0,7,6
64.0,9,-37.0,1087981.0,7,6
65.0,9,9.0,1087990.0,8,6
66.0,10,10.0,1088000.0,8,6
67.0,10,10.0,1088010.0,8,6
68.0,10,-31.0,1087979.0,8,6
69.0,10,-30.0,1087949.0,8,6
70.0,11,11.0,1087960.0,8,6
71.0,10,10.0,1087970.0,8,6
72.0,11,11.0,1087981.0,8,6
73.0,11,11.0,1087992.0,8,6
74.0,12,12.0,1088004.0,8,6
75.0,11,-97.0,1087907.0,8,6
76.0,9,9.0,1087916.0,8,6
77.0,7,-173.0,1087743.0,8,6
78.0,6,6.0,1087749.0,8,6
79.0,5,5.0,1087754.0,8,6
80.0,7,7.0,1087761.0,9,6
81.0,6,6.0,1087767.0,10,7
82.0,8,8.0,1087775.0,10,8
83.0,9,-75.0,1087700.0,11,8
84.0,10,10.0,1087710.0,11,9
85.0,11,11.0,1087721.0,12,10
86.0,11,-145.0,1087576.0,12,10
87.0,13,14.0,1087590.0,13,10
88.0,14,14.0,1087604.0,13,10
89.0,14,-68.0,1087536.0,13,10
90.0,14,15.0,1087551.0,13,10
91.0,15,-61.0,1087490.0,13,10
92.0,16,16.0,1087506.0,13,11
93.0,16,16.0,1087522.0,13,11
94.0,16,16.0,1087538.0,13,11
95.0,17,-57.0,1087481.0,13,11
96.0,17,17.0,1087498.0,14,11
97.0,18,18.0,1087516.0,14,11
98.0,19,19.0,1087535.0,14,11
99.0,19,-53.0,1087482.0,14,11
100.0,20,20.0,1087502.0,14,11
101.0,25,25.0,1087527.0,14,11
102.0,23,23.0,1087550.0,14,12
103.0,22,22.0,1087572.0,14,12
104.0,24,24.0,1087596.0,14,12
105.0,23,-177.0,1087419.0,14,12
106.0,22,-42.0,1087377.0,14,12
107.0,24,24.0,1087401.0,15,12
108.0,26,-48.0,1087353.0,15,12
109.0,25,25.0,1087378.0,15,13
110.0,26,26.0,1087404.0,15,13
111.0,26,26.0,1087430.0,15,14
112.0,27,-32.0,1087398.0,15,14
113.0,26,26.0,1087424.0,15,14
114.0,27,27.0,1087451.0,15,14
115.0,27,-30.0,1087421.0,15,14
116.0,27,27.0,1087448.0,15,14
117.0,28,28.0,1087476.0,15,14
118.0,30,-29.0,1087447.0,15,14
119.0,31,31.0,1087478.0,15,14
120.0,30,30.0,1087508.0,15,14
121.0,25,25.0,1087533.0,15,14
122.0,23,-144.0,1087389.0,15,14
123.0,23,23.0,1087412.0,15,14
124.0,20,20.0,1087432.0,15,15
