step_time,step_stopped,step_wait_time,accumulated_wait_time
1.0,0,0.0,0.0
2.0,0,0.0,0.0
3.0,0,0.0,0.0
4.0,0,0.0,0.0
5.0,0,0.0,0.0
6.0,0,0.0,0.0
7.0,0,0.0,0.0
8.0,0,0.0,0.0
9.0,0,0.0,0.0
10.0,0,0.0,0.0
11.0,0,0.0,0.0
12.0,0,0.0,0.0
13.0,0,0.0,0.0
14.0,0,0.0,0.0
15.0,0,0.0,0.0
16.0,0,0.0,0.0
17.0,1,1.0,1.0
18.0,0,0.0,1.0
19.0,1,1.0,2.0
20.0,0,1.0,3.0
21.0,0,1.0,4.0
22.0,0,1.0,5.0
23.0,0,1.0,6.0
24.0,1,2.0,8.0
25.0,2,3.0,11.0
26.0,1,3.0,14.0
27.0,1,4.0,18.0
28.0,0,4.0,22.0
29.0,0,4.0,26.0
30.0,0,4.0,30.0
31.0,0,4.0,34.0
32.0,0,4.0,38.0
33.0,0,4.0,42.0
34.0,0,4.0,46.0
35.0,0,4.0,50.0
36.0,0,4.0,54.0
37.0,1,5.0,59.0
38.0,0,4.0,63.0
39.0,0,4.0,67.0
40.0,0,3.0,70.0
41.0,1,4.0,74.0
42.0,0,4.0,78.0
43.0,0,4.0,82.0
44.0,0,4.0,86.0
45.0,0,4.0,90.0
46.0,0,3.0,93.0
47.0,0,2.0,95.0
48.0,0,2.0,97.0
49.0,0,2.0,99.0
50.0,0,2.0,101.0
51.0,0,2.0,103.0
52.0,0,2.0,105.0
53.0,0,2.0,107.0
54.0,0,2.0,109.0
55.0,1,3.0,112.0
56.0,0,2.0,114.0
57.0,0,2.0,116.0
58.0,0,2.0,118.0
59.0,0,2.0,120.0
60.0,0,2.0,122.0
61.0,0,2.0,124.0
62.0,0,2.0,126.0
63.0,0,2.0,128.0
64.0,1,3.0,131.0
65.0,1,4.0,135.0
66.0,0,3.0,138.0
67.0,2,5.0,143.0
68.0,0,5.0,148.0
69.0,0,5.0,153.0
70.0,0,5.0,158.0
71.0,0,5.0,163.0
72.0,0,5.0,168.0
73.0,1,6.0,174.0
74.0,0,6.0,180.0
75.0,0,5.0,185.0
76.0,1,6.0,191.0
77.0,1,7.0,198.0
78.0,0,7.0,205.0
79.0,0,6.0,211.0
80.0,0,6.0,217.0
81.0,0,6.0,223.0
82.0,0,6.0,229.0
83.0,0,6.0,235.0
84.0,0,6.0,241.0
85.0,0,6.0,247.0
86.0,0,6.0,253.0
87.0,0,6.0,259.0
88.0,0,6.0,265.0
89.0,0,6.0,271.0
90.0,1,6.0,277.0
91.0,0,6.0,283.0
92.0,0,6.0,289.0
93.0,1,6.0,295.0
94.0,1,5.0,300.0
95.0,0,4.0,304.0
96.0,2,6.0,310.0
97.0,2,8.0,318.0
98.0,0,8.0,326.0
99.0,0,8.0,334.0
100.0,0,8.0,342.0
101.0,0,8.0,350.0
102.0,0,8.0,358.0
103.0,0,8.0,366.0
104.0,1,9.0,375.0
105.0,0,9.0,384.0
106.0,0,9.0,393.0
107.0,0,9.0,402.0
108.0,0,9.0,411.0
109.0,0,9.0,420.0
110.0,1,10.0,430.0
111.0,0,10.0,440.0
112.0,0,10.0,450.0
113.0,1,11.0,461.0
114.0,0,11.0,472.0
115.0,0,11.0,483.0
116.0,1,12.0,495.0
117.0,1,13.0,508.0
118.0,1,13.0,521.0
119.0,1,13.0,534.0
120.0,0,13.0,547.0
121.0,1,14.0,561.0
122.0,0,13.0,574.0
123.0,0,13.0,587.0
124.0,1,14.0,601.0
125.0,0,14.0,615.0
126.0,0,14.0,629.0
127.0,0,14.0,643.0
128.0,1,15.0,658.0
129.0,0,15.0,673.0
130.0,1,16.0,689.0
131.0,0,16.0,705.0
132.0,0,16.0,721.0
133.0,0,16.0,737.0
134.0,2,18.0,755.0
135.0,0,18.0,773.0
136.0,0,18.0,791.0
137.0,1,19.0,810.0
138.0,0,19.0,829.0
139.0,0,19.0,848.0
140.0,0,19.0,867.0
141.0,0,19.0,886.0
142.0,0,19.0,905.0
143.0,0,19.0,924.0
144.0,1,20.0,944.0
145.0,0,20.0,964.0
146.0,0,20.0,984.0
147.0,0,19.0,1003.0
148.0,1,20.0,1023.0
149.0,0,20.0,1043.0
150.0,0,20.0,1063.0
151.0,1,13.0,1076.0
152.0,0,9.0,1085.0
153.0,0,8.0,1093.0
154.0,0,7.0,1100.0
155.0,0,7.0,1107.0
156.0,0,7.0,1114.0
157.0,0,7.0,1121.0
158.0,0,7.0,1128.0
159.0,0,7.0,1135.0
160.0,1,8.0,1143.0
161.0,0,8.0,1151.0
162.0,0,8.0,1159.0
163.0,0,8.0,1167.0
164.0,0,8.0,1175.0
165.0,0,8.0,1183.0
166.0,0,8.0,1191.0
167.0,0,8.0,1199.0
168.0,0,8.0,1207.0
169.0,1,9.0,1216.0
170.0,0,8.0,1224.0
171.0,1,9.0,1233.0
172.0,0,9.0,1242.0
173.0,1,10.0,1252.0
