step_time,step_stopped,step_wait_time,accumulated_wait_time
222.0,0,5.0,1558.0
223.0,0,5.0,1563.0
224.0,0,5.0,1568.0
225.0,0,5.0,1573.0
226.0,0,2.0,1575.0
227.0,0,2.0,1577.0
228.0,0,2.0,1579.0
229.0,0,2.0,1581.0
230.0,0,2.0,1583.0
231.0,0,2.0,1585.0
232.0,0,2.0,1587.0
233.0,1,3.0,1590.0
234.0,0,3.0,1593.0
235.0,0,3.0,1596.0
236.0,0,3.0,1599.0
237.0,0,3.0,1602.0
238.0,1,4.0,1606.0
239.0,0,4.0,1610.0
240.0,0,4.0,1614.0
241.0,0,4.0,1618.0
242.0,0,4.0,1622.0
243.0,0,4.0,1626.0
244.0,0,4.0,1630.0
245.0,0,4.0,1634.0
246.0,0,4.0,1638.0
247.0,0,4.0,1642.0
248.0,0,4.0,1646.0
249.0,0,4.0,1650.0
250.0,0,4.0,1654.0
251.0,2,6.0,1660.0
252.0,1,7.0,1667.0
253.0,0,7.0,1674.0
254.0,0,7.0,1681.0
255.0,0,7.0,1688.0
256.0,0,7.0,1695.0
257.0,0,7.0,1702.0
258.0,0,7.0,1709.0
259.0,0,5.0,1714.0
260.0,0,4.0,1718.0
261.0,1,5.0,1723.0
262.0,0,5.0,1728.0
263.0,0,5.0,1733.0
264.0,0,5.0,1738.0
265.0,0,5.0,1743.0
266.0,0,5.0,1748.0
267.0,0,5.0,1753.0
268.0,0,5.0,1758.0
269.0,0,5.0,1763.0
270.0,0,3.0,1766.0
271.0,0,3.0,1769.0
272.0,0,3.0,1772.0
273.0,0,3.0,1775.0
274.0,1,4.0,1779.0
275.0,1,5.0,1784.0
276.0,1,6.0,1790.0
277.0,0,6.0,1796.0
278.0,0,6.0,1802.0
279.0,0,6.0,1808.0
280.0,0,6.0,1814.0
281.0,0,6.0,1820.0
282.0,0,6.0,1826.0
283.0,0,6.0,1832.0
284.0,0,6.0,1838.0
285.0,2,8.0,1846.0
286.0,0,7.0,1853.0
287.0,1,8.0,1861.0
288.0,0,8.0,1869.0
289.0,0,8.0,1877.0
290.0,1,9.0,1886.0
291.0,0,8.0,1894.0
292.0,1,9.0,1903.0
293.0,0,9.0,1912.0
294.0,1,10.0,1922.0
295.0,0,10.0,1932.0
296.0,0,10.0,1942.0
297.0,3,13.0,1955.0
298.0,0,13.0,1968.0
299.0,0,13.0,1981.0
300.0,0,13.0,1994.0
301.0,1,14.0,2008.0
302.0,0,13.0,2021.0
303.0,1,14.0,2035.0
304.0,0,14.0,2049.0
305.0,1,15.0,2064.0
306.0,0,15.0,2079.0
307.0,2,16.0,2095.0
308.0,1,15.0,2110.0
309.0,2,17.0,2127.0
310.0,0,17.0,2144.0
311.0,0,17.0,2161.0
312.0,0,17.0,2178.0
313.0,0,17.0,2195.0
314.0,0,17.0,2212.0
315.0,0,17.0,2229.0
316.0,0,17.0,2246.0
317.0,0,17.0,2263.0
318.0,0,17.0,2280.0
319.0,0,17.0,2297.0
320.0,0,17.0,2314.0
321.0,0,17.0,2331.0
322.0,1,18.0,2349.0
323.0,0,17.0,2366.0
324.0,1,18.0,2384.0
325.0,0,18.0,2402.0
326.0,1,19.0,2421.0
327.0,0,19.0,2440.0
328.0,0,19.0,2459.0
329.0,0,19.0,2478.0
330.0,0,19.0,2497.0
331.0,1,14.0,2511.0
332.0,0,9.0,2520.0
333.0,1,8.0,2528.0
334.0,1,9.0,2537.0
335.0,0,9.0,2546.0
336.0,0,9.0,2555.0
337.0,0,9.0,2564.0
338.0,0,9.0,2573.0
339.0,0,9.0,2582.0
340.0,0,9.0,2591.0
341.0,0,9.0,2600.0
342.0,0,9.0,2609.0
343.0,1,10.0,2619.0
