step_time,reward,total_stopped,total_wait_time,gneJ00_passed,gneJ9_passed
789.0,0,9,200.0,291,268
793.0,0,9,226.0,293,272
797.0,0,10,266.0,293,274
801.0,0,6,168.0,295,277
805.0,0,7,133.0,297,278
809.0,0,9,143.0,298,280
813.0,0,11,185.0,298,282
817.0,0,14,238.0,298,283
821.0,0,17,300.0,299,286
825.0,0,19,375.0,300,286
829.0,0,19,408.0,300,286
833.0,0,24,499.0,301,286
837.0,0,27,496.0,301,286
841.0,0,30,558.0,302,288
845.0,0,30,588.0,302,290
849.0,0,27,625.0,305,291
853.0,0,25,641.0,308,292
857.0,0,24,680.0,310,292
861.0,0,20,672.0,313,292
865.0,0,19,725.0,315,293
869.0,0,15,613.0,318,294
873.0,0,17,621.0,320,296
877.0,0,18,647.0,323,298
881.0,0,19,704.0,326,298
885.0,0,11,645.0,328,299
889.0,0,8,492.0,329,302
893.0,0,8,446.0,330,304
897.0,0,11,405.0,332,308
901.0,0,11,441.0,333,310
905.0,0,11,312.0,333,313
909.0,0,10,282.0,336,316
913.0,0,11,290.0,338,319
917.0,0,11,199.0,338,320
921.0,0,8,161.0,340,322
925.0,0,9,180.0,343,323
929.0,0,15,231.0,345,325
933.0,0,16,294.0,345,328
937.0,0,19,364.0,345,330
941.0,0,20,440.0,345,331
945.0,0,20,521.0,345,331
949.0,0,25,542.0,346,331
953.0,0,30,649.0,347,331
957.0,0,27,642.0,347,331
961.0,0,30,618.0,347,334
965.0,0,30,680.0,348,337
969.0,0,27,692.0,351,337
973.0,0,22,718.0,353,337
977.0,0,20,697.0,356,337
981.0,0,17,710.0,359,337
985.0,0,16,694.0,361,338
989.0,0,14,632.0,364,340
993.0,0,16,638.0,368,342
997.0,0,17,680.0,370,342
1001.0,0,14,588.0,373,342
1005.0,0,12,528.0,375,345
1009.0,0,11,457.0,376,347
1013.0,0,9,454.0,377,349
1017.0,0,11,445.0,379,350
1021.0,0,8,312.0,380,352
1025.0,0,8,278.0,382,353
1029.0,0,9,280.0,383,354
1033.0,0,11,320.0,384,356
1037.0,0,9,212.0,384,359
1041.0,0,12,171.0,388,361
1045.0,0,13,202.0,390,362
1049.0,0,17,263.0,391,363
1053.0,0,20,339.0,391,365
1057.0,0,21,425.0,391,367
1061.0,0,25,521.0,391,367
1065.0,0,28,602.0,391,367
1069.0,0,31,711.0,392,367
1073.0,0,35,722.0,393,367
1077.0,0,38,804.0,393,369
1081.0,0,37,859.0,394,371
1085.0,0,35,923.0,396,373
1089.0,0,32,909.0,400,373
1093.0,0,29,959.0,404,373
1097.0,0,29,992.0,406,373
1101.0,0,25,1013.0,408,373
1105.0,0,22,978.0,412,375
1109.0,0,24,984.0,414,376
1113.0,0,27,1058.0,417,377
1117.0,0,28,1150.0,420,377
1121.0,0,23,1100.0,421,377
1125.0,0,18,1058.0,422,379
1129.0,0,15,964.0,424,383
1133.0,0,13,938.0,425,386
1137.0,0,11,758.0,427,388
1141.0,0,8,498.0,429,392
1145.0,0,11,424.0,430,395
1149.0,0,13,376.0,431,397
1153.0,0,11,270.0,432,399
1157.0,0,11,217.0,434,401
1161.0,0,11,233.0,437,403
1165.0,0,12,281.0,439,405
1169.0,0,16,340.0,439,406
1173.0,0,20,412.0,439,407
1177.0,0,21,494.0,439,408
1181.0,0,26,592.0,440,408
1185.0,0,32,680.0,441,408
1189.0,0,34,813.0,441,408
1193.0,0,31,788.0,441,408
1197.0,0,33,741.0,441,411
1201.0,0,30,753.0,443,413
1205.0,0,29,859.0,446,414
1209.0,0,27,854.0,448,415
1213.0,0,26,835.0,451,416
1217.0,0,25,922.0,453,416
1221.0,0,25,863.0,456,416
1225.0,0,24,937.0,458,418
1229.0,0,26,1012.0,462,420
1233.0,0,28,1073.0,465,421
