(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.238578680203046,54.46192893401015,11.16243654822335,24.269035532994923,10.018957345971565,48.357142857142854,10.431279620853081,24.080568720379148
3.379628436702826,431.63941353809685,7.283259037852045,1.7499549073668486,0.018597965005278414,300.26768707482995,4.520159026077582,0.33948024527750953
1.8383765764126854,20.775933517849367,2.698751384965285,1.3228586120091779,0.13637435611315793,17.32823381290863,2.1260665620054287,0.582649333027602
10,72,10.0,24,10.0,47,10.0,24.0
10,55,10,24,10.0,62,10.0,24.0
10,62,10,24,10.0,54,10.0,24.0
10,44,10,24,10.0,30,10.0,24.0
10,43,10,24,10.0,28,10.0,24.0
10,49,10,24,10.0,35,10.0,24.0
10,43,10,24,10.0,55,10.0,24.0
10,28,10,24,10.0,49,10.0,24.0
10,52,10,24,10.0,34,10.0,24.0
10,45,10,24,10.0,34,10.0,24.0
10,43,10,24,10.0,49,10.0,24.0
10,40,10,24,10.0,51,10.0,24.0
10,45,10,24,10.0,43,10.0,24.0
10,24,10,24,10.0,55,10.0,24.0
10,56,10,24,10.0,37,10.0,24.0
10,44,10,24,10.0,63,10.0,24.0
10,56,10,24,10.0,39,10.0,24.0
10,32,10,24,10.0,54,10.0,24.0
10,67,10,24,10.0,47,10.0,24.0
10,56,10,24,10.0,48,10.0,24.0
10,43,10,24,10.0,53,10.0,24.0
10,66,10,24,10.0,60,10.0,24.0
11,28,10,24,10.0,47,10.0,24.0
10,31,10,24,10.0,59,10.0,24.0
10,41,10,24,10.0,45,10.0,24.0
10,49,10,24,10.0,75,10.0,24.0
10,36,10,24,10.0,48,10.0,24.0
10,47,10,24,10.0,49,10.0,24.0
10,66,10,24,10.0,66,10.0,24.0
10,41,10,24,10.0,32,10.0,24.0
10,62,11,24,10.0,68,10.0,24.0
10,61,10,24,10.0,38,10.0,24.0
10,53,10,24,10.0,75,10.0,24.0
10,58,10,24,10.0,37,10.0,24.0
10,41,10,24,10.0,74,14.0,24.0
10,63,11,24,10.0,55,10.0,24.0
10,48,13,24,10.0,47,10.0,24.0
10,39,15,24,10.0,41,10.0,24.0
10,47,10,24,10.0,28,10.0,24.0
10,44,13,24,10.0,58,10.0,24.0
10,51,14,24,10.0,38,10.0,24.0
10,38,10,24,10.0,35,10.0,24.0
10,28,10,24,10.0,31,10.0,24.0
10,52,11,24,10.0,35,10.0,24.0
10,32,10,24,10.0,44,10.0,24.0
10,64,12,24,10.0,33,10.0,24.0
10,49,12,24,10.0,26,10.0,24.0
10,48,12,24,10.0,49,12.0,24.0
