(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.00507614213198,55.19897959183673,11.16751269035533,24.01015228426396,10.009615384615385,50.26923076923077,10.014354066985646,24.009615384615383
0.005050374913035637,189.44510099958353,6.423716148316111,0.010049215388183156,0.00952292899408284,115.02366863905326,0.02371740573704814,0.009522928994082842
0.07106598984771574,13.763905732007304,2.534505109151708,0.1002457749143731,0.09758549581819442,10.724908793973647,0.15400456401369456,0.09758549581819442
10,69,10.0,24,10,43,10.0,24
10,51,10,24,10,64,10.0,24
10,47,10,24,10,54,10.0,24
10,48,14,24,10,30,10.0,24
10,54,10,24,10,56,10.0,24
10,27,13,24,10,46,10.0,24
10,69,15,24,10,46,10.0,24
10,49,10,24,10,42,10.0,24
10,49,10,24,10,42,10.0,24
10,42,11,24,10,39,10.0,24
10,48,10,24,10,40,10.0,24
10,55,10,24,10,47,10.0,24
10,28,14,24,10,51,10.0,24
10,48,10,24,10,40,10.0,24
10,48,10,24,10,32,10.0,24
10,31,10,24,10,45,10.0,24
10,51,10,24,10,50,10.0,24
10,47,10,24,10,40,10.0,24
10,65,16,24,10,43,10.0,24
10,61,12,24,10,42,10.0,24
10,53,13,24,10,38,10.0,24
10,48,15,24,10,41,10.0,24
10,45,15,24,10,56,10.0,24
10,60,14,24,10,53,10.0,24
10,41,17,24,10,46,10.0,24
10,37,17,24,10,44,10.0,24
10,50,14,24,10,30,10.0,24
10,47,12,24,10,35,10.0,24
10,55,12,24,10,50,10.0,24
10,54,15,24,10,53,10.0,24
10,53,14,24,10,47,10.0,24
10,50,10,24,10,30,10.0,24
10,74,15,24,10,41,10.0,24
10,80,10,24,11,43,10.0,24
10,78,10,24,10,50,10.0,24
10,78,10,24,10,51,10.0,24
10,68,10,24,10,56,10.0,24
10,63,10,24,10,54,10.0,24
10,67,10,24,10,57,10.0,24
10,24,10,24,10,55,10.0,24
10,77,10,24,10,64,10.0,24
10,78,10,24,10,29,10.0,24
10,73,10,24,10,67,10.0,24
10,49,10,24,10,59,10.0,24
10,71,10,24,10,61,10.0,24
10,71,10,24,10,57,10.0,24
10,64,10,24,10,58,10.0,24
10,38,10,24,10,58,10.0,24
10,74,10,24,10,32,10.0,24
10,59,10,24,10,57,10.0,24
10,60,10,24,10,30,10.0,24
10,60,10,24,10,63,10.0,24
10,63,10,24,10,57,10.0,24
10,53,10,24,10,49,10.0,24
10,70,10,24,10,58,10.0,24
10,35,10,24,10,42,10.0,24
10,48,10,24,10,60,10.0,24
10,69,10,24,10,26,10.0,24
10,59,10,24,10,61,10.0,24
10,57,10,24,10,60,10.0,24
10,30,10,24,10,61,10.0,24
10,69,10,24,10,25,10.0,24
10,31,11,24,10,53,10.0,24
10,71,10,24,10,54,10.0,24
10,57,10,24,10,43,10.0,24
10,56,10,24,10,60,10.0,24
10,24,10,24,10,54,10.0,24
10,66,10,25,10,55,10.0,24
10,54,10,24,10,52,10.0,24
10,53,10,24,10,50,10.0,24
10,54,10,24,10,52,10.0,24
10,52,10,24,10,59,10.0,24
10,58,10,24,10,38,10.0,24
10,37,10,24,10,55,10.0,24
10,56,10,24,10,53,10.0,24
10,55,10,24,10,53,10.0,24
10,46,10,24,10,53,10.0,24
10,28,10,24,10,51,10.0,24
10,51,10,24,10,29,10.0,24
10,51,10,24,10,57,10.0,24
10,45,10,24,10,24,10.0,24
10,50,10,24,10,24,10.0,24
10,26,10,24,10,55,10.0,24
10,47,10,24,10,54,10.0,24
10,47,10,24,10,49,10.0,24
10,53,10,24,10,30,10.0,24
10,44,10,24,10,53,10.0,24
10,31,10,24,11,35,10.0,24
10,53,10,24,10,38,10.0,24
10,60,10,24,10,54,10.0,24
10,52,10,24,10,50,10.0,24
10,48,10,24,10,49,10.0,24
10,60,10,24,10,51,10.0,24
10,53,10,24,10,49,10.0,24
10,51,10,24,10,43,10.0,24
10,61,10,24,10,52,10.0,24
10,58,10,24,10,44,10.0,24
10,57,10,24,10,45,10.0,24
10,57,10,24,10,51,10.0,24
10,63,10,24,10,58,10.0,24
10,71,10,24,10,59,10.0,24
10,55,10,24,10,53,10.0,24
10,56,15,24,10,56,10.0,24
10,59,16,24,10,54,10.0,24
10,57,16,24,10,55,10.0,24
10,37,10,24,10,57,10.0,24
10,56,15,24,10,58,10.0,24
10,57,16,24,10,66,10.0,24
10,49,10,24,10,59,10.0,24
10,63,15,24,10,54,12.0,24
10,67,10,24,10,26,10.0,24
10,56,10,24,10,43,10.0,24
10,26,21,24,10,52,10.0,24
10,69,20,24,10,38,10.0,25
10,31,18,24,10,47,10.0,24
10,68,14,24,10,35,10.0,24
10,63,10,24,10,49,10.0,24
10,50,10,24,10,45,10.0,24
10,46,10,24,10,47,10.0,24
10,60,15,24,10,65,10.0,24
10,62,10,24,10,53,10.0,24
10,68,15,24,10,60,10.0,24
10,57,11,24,10,52,10.0,24
10,44,16,24,10,44,10.0,24
10,40,20,24,10,40,10.0,24
10,58,19,24,10,54,10.0,24
10,67,19,24,10,46,10.0,24
10,72,16,24,10,43,10.0,24
10,60,18,24,10,36,10.0,24
10,56,19,24,10,51,10.0,24
10,59,20,24,10,44,10.0,24
10,92,17,24,10,48,10.0,24
10,97,10,24,10,33,10.0,24
10,63,10,24,10,55,10.0,24
10,94,10,24,10,56,10.0,24
10,51,10,24,10,46,10.0,24
10,89,10,24,10,38,10.0,24
10,95,10,24,10,43,10.0,24
10,27,10,24,10,56,10.0,24
10,33,10,24,10,49,10.0,24
10,61,10,24,10,52,10.0,24
10,78,10,24,10,46,10.0,24
10,77,10,24,10,39,10.0,24
10,51,10,24,10,53,10.0,24
10,73,10,24,10,67,10.0,24
10,53,10,25,10,64,10.0,24
10,69,10,24,10,78,10.0,24
10,37,10,24,10,75,10.0,24
10,81,10,24,10,78,10.0,24
10,62,10,24,10,71,10.0,24
10,72,10,24,10,78,10.0,24
10,73,10,24,10,68,10.0,24
10,35,10,24,10,63,10.0,24
10,67,10,24,10,51,10.0,24
10,61,10,24,10,61,10.0,24
10,41,10,24,10,70,10.0,24
10,65,10,24,10,70,10.0,24
10,50,10,24,10,66,10.0,24
10,64,10,24,10,53,10.0,24
10,72,10,24,10,64,10.0,24
10,65,10,24,10,63,10.0,24
10,63,10,24,10,58,10.0,24
10,50,10,24,10,48,10.0,24
10,37,10,24,10,62,10.0,24
10,51,10,24,10,53,10.0,24
11,51,10,24,10,55,10.0,24
10,50,10,24,10,64,10.0,24
10,45,10,24,10,34,10.0,24
10,58,10,24,10,42,10.0,24
10,39,10,24,10,39,10.0,24
10,57,10,24,10,55,10.0,24
10,51,10,24,10,59,10.0,24
10,56,10,24,10,29,10.0,24
10,54,10,24,10,59,10.0,24
10,33,10,24,10,46,10.0,25
10,66,10,24,10,36,10.0,24
10,45,10,24,10,62,10.0,24
10,61,10,24,10,59,10.0,24
10,50,10,24,10,30,11.0,24
10,57,10,24,10,62,10.0,24
10,54,10,24,10,52,10.0,24
10,53,10,24,10,51,10.0,24
10,57,10,24,10,56,10.0,24
10,49,10,24,10,57,10.0,24
10,65,10,24,10,45,10.0,24
10,33,10,24,10,63,10.0,24
10,52,10,24,10,50,10.0,24
10,46,10,24,10,26,10.0,24
10,42,10,24,10,51,10.0,24
10,61,10,24,10,47,10.0,24
10,48,10,24,10,53,10.0,24
10,52,10,24,10,55,10.0,24
10,45,10,24,10,58,10.0,24
10,50,10,24,10,52,10.0,24
10,51,10,24,10,48,10.0,24
10,45,10,24,10,35,10.0,24
10,,10,24,10,59,10.0,24
,,,,10,59,10.0,24
,,,,10,53,10.0,24
,,,,10,53,10.0,24
,,,,10,46,10.0,24
,,,,10,46,10.0,24
,,,,10,53,10.0,24
,,,,10,55,10.0,24
,,,,10,55,10.0,24
,,,,10,47,10.0,24
,,,,10,48,10.0,24
,,,,10,51,10.0,24
,,,,,,10.0,
