(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.099009900990099,52.62871287128713,10.566502463054187,24.0,10.014084507042254,47.79245283018868,10.12206572769953,24.136150234741784
1.138711890991079,455.2136310165671,3.792375451964378,0.0,0.013886133703630229,308.04182983268066,0.17289338535123094,0.28662743282858344
1.0671044424005922,21.335736008316356,1.9474022316831154,0.0,0.11783944035691203,17.551120472285543,0.4158045037649676,0.5353759733389083
10,44,10.0,24,10.0,45,10.0,24.0
10,42,10,24,10.0,41,10.0,24.0
10,27,10,24,10.0,40,10.0,24.0
10,45,10,24,10.0,24,10.0,24.0
10,57,10,24,10.0,24,10.0,24.0
10,44,10,24,10.0,40,10.0,24.0
10,51,10,24,10.0,48,10.0,24.0
10,42,10,24,10.0,44,10.0,24.0
10,39,11,24,10.0,25,10.0,24.0
10,41,11,24,10.0,69,10.0,24.0
10,38,12,24,10.0,42,10.0,24.0
10,42,11,24,10.0,39,10.0,24.0
10,40,10,24,10.0,40,10.0,24.0
10,33,11,24,10.0,30,10.0,24.0
10,26,10,24,10.0,28,10.0,24.0
10,44,10,24,10.0,25,10.0,24.0
10,73,10,24,10.0,45,10.0,24.0
10,58,17,24,10.0,24,11.0,24.0
10,51,11,24,10.0,24,10.0,24.0
10,39,17,24,10.0,57,10.0,24.0
10,36,16,24,10.0,31,10.0,24.0
10,51,14,24,10.0,24,10.0,24.0
10,38,13,24,10.0,54,10.0,24.0
10,70,13,24,10.0,24,10.0,24.0
10,46,17,24,10.0,24,10.0,24.0
10,26,18,24,10.0,38,10.0,24.0
10,62,15,24,10.0,38,11.0,24.0
10,57,25,24,10.0,24,10.0,24.0
10,38,12,24,10.0,54,10.0,24.0
10,26,10,24,10.0,36,10.0,24.0
10,41,10,24,10.0,24,10.0,24.0
10,73,16,24,10.0,28,10.0,24.0
10,25,23,24,10.0,24,10.0,24.0
10,95,18,24,10.0,24,10.0,24.0
10,90,10,24,10.0,24,10.0,24.0
10,40,10,24,10.0,40,10.0,24.0
10,66,10,24,10.0,52,10.0,24.0
10,100,10,24,10.0,64,10.0,25.0
10,100,10,24,10.0,24,10.0,24.0
10,66,10,24,10.0,25,10.0,24.0
10,100,10,24,10.0,93,10.0,24.0
10,30,10,24,10.0,24,10.0,24.0
10,68,10,24,10.0,59,10.0,25.0
10,84,10,24,10.0,63,10.0,24.0
10,100,10,24,10.0,100,10.0,24.0
10,88,10,24,10.0,68,10.0,24.0
10,100,10,24,10.0,84,11.0,26.0
10,78,10,24,10.0,79,12.0,26.0
10,77,10,24,10.0,44,12.0,24.0
10,78,10,24,10.0,43,12.0,25.0
10,96,10,24,10.0,100,10.0,24.0
10,94,10,24,10.0,42,11.0,24.0
10,51,10,24,10.0,61,10.0,24.0
10,87,10,24,10.0,57,12.0,24.0
10,98,10,24,10.0,79,11.0,24.0
10,42,10,24,10.0,69,10.0,24.0
10,98,10,24,10.0,59,11.0,24.0
10,79,10,24,10.0,71,10.0,24.0
10,69,10,24,10.0,69,10.0,24.0
10,66,10,24,10.0,70,10.0,24.0
10,75,10,24,10.0,28,10.0,24.0
10,25,10,24,10.0,28,10.0,24.0
10,26,10,24,10.0,77,10.0,24.0
10,65,10,24,10.0,74,10.0,24.0
10,28,10,24,10.0,37,10.0,24.0
10,64,10,24,10.0,58,10.0,24.0
10,44,10,24,10.0,60,10.0,24.0
10,58,10,24,10.0,59,10.0,24.0
10,48,10,24,10.0,61,10.0,24.0
10,60,10,24,10.0,58,10.0,24.0
10,26,10,24,10.0,42,10.0,24.0
10,74,10,24,10.0,26,10.0,24.0
10,47,10,24,10.0,74,10.0,24.0
10,57,10,24,10.0,39,10.0,24.0
11,53,10,24,10.0,59,10.0,24.0
10,29,10,24,10.0,46,10.0,24.0
10,72,10,24,10.0,53,10.0,24.0
10,52,11,24,10.0,61,10.0,24.0
10,72,11,24,10.0,46,10.0,24.0
10,56,10,24,10.0,45,10.0,24.0
10,38,10,24,10.0,57,10.0,24.0
10,61,10,24,10.0,37,10.0,24.0
10,56,10,24,10.0,62,10.0,24.0
10,47,10,24,10.0,70,10.0,24.0
10,46,10,24,10.0,32,10.0,24.0
10,58,10,24,10.0,64,10.0,24.0
10,55,10,24,10.0,59,10.0,24.0
10,47,10,24,10.0,69,10.0,24.0
10,59,10,24,10.0,33,10.0,24.0
10,40,10,24,10.0,24,10.0,24.0
10,49,10,24,10.0,65,10.0,24.0
10,53,10,24,10.0,53,10.0,24.0
10,45,10,24,10.0,55,10.0,24.0
10,37,10,24,10.0,41,10.0,24.0
10,25,10,24,10.0,47,10.0,24.0
10,36,10,24,10.0,54,10.0,24.0
10,57,10,24,10.0,29,10.0,24.0
10,31,10,24,10.0,52,10.0,24.0
10,46,10,24,10.0,60,10.0,24.0
10,37,10,24,10.0,43,10.0,24.0
10,38,10,24,10.0,52,10.0,24.0
10,33,10,24,10.0,63,10.0,24.0
10,36,10,24,10.0,24,10.0,24.0
10,36,11,24,10.0,52,10.0,24.0
10,37,10,24,10.0,55,10.0,24.0
