(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.009708737864077,51.02427184466019,10.144927536231885,24.004830917874397,10.023364485981308,47.38785046728972,10.018604651162791,24.014018691588785
0.009614478273164294,302.7615467998869,0.2591892459567318,0.0048075801068869755,0.022818586776137652,226.01312341689228,0.018258518117901565,0.013822167874923574
0.09805344600351532,17.40004444821584,0.5091063208768202,0.06933671543191944,0.15105822313312722,15.033732850389896,0.1351240841519437,0.11756771612531892
10,75,10.0,24,10,42,10.0,24
10,47,10,24,10,73,10.0,24
10,73,10,24,11,54,10.0,24
10,67,10,24,10,28,10.0,24
10,46,10,24,10,25,10.0,24
10,54,10,24,10,66,10.0,24
10,47,10,24,10,45,10.0,24
10,58,10,24,10,55,10.0,24
10,81,10,24,10,26,10.0,24
10,39,10,24,10,88,10.0,24
10,65,10,24,10,65,10.0,24
10,66,10,24,10,26,10.0,24
10,55,10,24,10,73,10.0,24
10,90,10,25,10,64,10.0,24
10,43,10,24,10,48,10.0,24
10,63,10,24,10,69,10.0,24
10,63,10,24,10,43,10.0,24
10,53,10,24,10,57,10.0,24
10,48,10,24,10,64,10.0,24
11,64,10,24,10,51,10.0,24
10,38,10,24,10,53,10.0,24
10,67,10,24,10,56,10.0,24
10,43,10,24,10,32,10.0,24
10,38,10,24,10,66,10.0,24
10,43,10,24,10,32,10.0,24
10,70,10,24,10,52,10.0,24
10,47,10,24,10,45,10.0,24
10,75,10,24,10,69,10.0,24
10,71,10,24,10,48,10.0,24
10,42,10,24,10,72,10.0,24
10,52,10,24,10,63,10.0,24
10,57,10,24,10,49,10.0,24
10,49,10,24,10,50,10.0,24
10,37,12,24,10,54,10.0,24
10,47,10,24,10,32,10.0,24
10,60,10,24,10,45,10.0,24
10,30,12,24,10,34,10.0,24
10,41,10,24,10,32,10.0,24
10,27,11,24,10,48,10.0,24
10,49,10,24,10,33,10.0,24
10,32,10,24,10,43,10.0,24
10,40,10,24,10,31,10.0,24
10,33,10,24,10,45,10.0,24
10,56,10,24,10,38,10.0,24
10,39,10,24,11,52,10.0,24
10,43,10,24,10,35,10.0,24
10,35,10,24,10,48,10.0,24
10,46,10,24,10,44,10.0,24
10,33,10,24,10,46,10.0,25
10,47,10,24,10,24,10.0,24
10,39,10,24,10,51,10.0,24
10,44,10,24,10,25,10.0,24
10,42,10,24,11,59,10.0,24
10,42,10,24,10,41,10.0,24
10,35,10,24,10,35,10.0,24
10,52,10,24,10,46,10.0,24
10,33,10,24,10,42,10.0,24
10,38,10,24,10,26,10.0,24
10,41,10,24,10,36,10.0,24
10,41,10,24,10,54,11.0,24
10,39,10,24,10,24,10.0,24
10,37,10,24,10,37,10.0,24
10,26,10,24,10,25,10.0,24
10,51,10,24,10,24,10.0,25
10,49,10,24,10,44,10.0,24
10,44,11,24,10,25,10.0,24
10,37,13,24,10,26,10.0,24
10,40,12,24,10,58,10.0,24
10,59,13,24,10,48,10.0,24
10,70,11,24,10,43,10.0,24
10,58,10,24,10,40,10.0,24
10,96,10,24,10,52,10.0,24
10,81,10,24,10,53,10.0,24
10,94,10,24,10,41,10.0,24
10,25,10,24,10,73,10.0,24
10,28,10,24,10,77,11.0,24
10,45,10,24,10,74,10.0,24
10,39,10,24,10,83,10.0,24
10,25,10,24,10,53,10.0,24
10,33,10,24,10,68,10.0,24
10,29,10,24,10,27,10.0,24
10,94,10,24,10,70,10.0,24
10,64,10,24,10,69,10.0,24
10,88,10,24,10,75,10.0,24
10,85,10,24,10,58,10.0,24
10,89,10,24,10,68,10.0,24
10,52,10,24,10,75,10.0,24
10,71,10,24,10,66,10.0,24
10,28,10,24,10,76,11.0,24
10,67,10,24,10,50,10.0,24
10,86,10,24,10,70,10.0,24
10,87,10,24,10,43,10.0,24
10,67,10,24,10,62,10.0,24
10,29,10,24,10,68,10.0,24
10,80,10,24,10,40,10.0,24
10,73,10,24,10,50,10.0,24
10,60,10,24,10,53,10.0,24
10,81,10,24,10,63,10.0,24
10,58,10,24,10,40,10.0,24
10,68,10,24,10,62,10.0,24
10,49,10,24,10,62,10.0,24
10,54,10,24,10,64,10.0,24
10,49,10,24,10,76,10.0,24
10,35,10,24,10,64,10.0,24
10,37,10,24,10,62,10.0,24
10,44,10,24,10,50,10.0,24
10,63,10,24,10,36,10.0,24
10,33,10,24,10,40,10.0,24
10,65,10,24,10,44,10.0,24
10,50,10,24,10,62,10.0,24
10,60,10,24,10,35,10.0,24
10,55,10,24,10,59,10.0,24
10,61,10,24,10,53,10.0,24
10,32,10,24,10,57,10.0,24
10,35,10,24,10,58,10.0,24
10,78,10,24,10,59,10.0,24
10,28,10,24,10,35,10.0,24
10,68,10,24,10,40,10.0,24
10,43,10,24,10,73,10.0,24
10,64,10,24,10,32,10.0,24
10,54,10,24,10,64,10.0,24
10,25,10,24,11,47,10.0,24
10,73,10,24,10,57,10.0,24
10,56,10,24,10,47,10.0,24
10,58,10,24,10,41,10.0,24
10,52,10,24,10,69,10.0,24
10,48,10,24,10,59,10.0,24
10,61,10,24,10,38,10.0,24
10,51,10,24,10,62,10.0,24
10,58,10,24,10,52,10.0,24
10,43,10,24,10,57,10.0,24
10,79,10,24,10,57,10.0,24
10,57,10,24,10,56,10.0,24
10,47,10,24,10,43,10.0,24
10,69,10,24,10,24,10.0,24
10,56,10,24,10,61,10.0,24
10,46,10,24,10,43,10.0,24
10,55,10,24,10,44,10.0,24
10,36,12,24,10,61,10.0,25
10,33,13,24,10,58,10.0,24
10,28,11,24,10,49,10.0,24
10,45,10,24,10,51,10.0,24
10,43,10,24,10,40,10.0,24
10,32,11,24,10,25,10.0,24
10,42,11,24,10,36,10.0,24
10,37,11,24,10,34,10.0,24
10,37,11,24,10,32,10.0,24
10,44,11,24,10,42,10.0,24
10,29,10,24,10,32,10.0,24
10,38,11,24,10,37,10.0,24
10,24,10,24,10,25,10.0,24
10,30,10,24,10,35,10.0,24
10,42,10,24,10,33,10.0,24
10,31,10,24,11,40,10.0,24
10,46,10,24,10,39,10.0,24
10,46,10,24,10,24,10.0,24
10,32,10,24,10,24,10.0,24
10,36,10,24,10,42,10.0,24
10,29,10,24,10,37,10.0,24
10,26,10,24,10,33,10.0,24
10,32,10,24,10,36,10.0,24
10,28,10,24,10,40,10.0,24
10,29,10,24,10,32,10.0,24
10,37,10,24,10,32,10.0,24
10,35,10,24,10,43,10.0,24
10,35,10,24,10,37,10.0,24
10,35,10,24,10,27,10.0,24
10,29,10,24,10,31,10.0,24
10,51,10,24,10,24,10.0,24
10,33,12,24,10,36,10.0,24
10,33,10,24,10,26,10.0,24
10,37,11,24,10,51,10.0,24
10,35,10,24,10,25,10.0,24
10,36,10,24,10,30,10.0,24
10,33,10,24,10,50,10.0,24
10,70,10,24,10,28,10.0,24
10,69,10,24,10,47,10.0,24
10,74,10,24,10,24,10.0,24
10,58,10,24,10,46,10.0,24
10,72,10,24,10,38,10.0,24
10,65,10,24,10,63,10.0,24
10,58,10,24,10,87,10.0,24
10,55,10,24,10,36,10.0,24
10,57,10,24,10,70,10.0,24
10,84,10,24,10,30,10.0,24
10,66,10,24,10,25,10.0,24
10,38,10,24,10,49,10.0,24
10,27,10,24,10,47,10.0,24
10,89,10,24,10,28,10.0,24
10,31,10,24,10,59,10.0,24
10,50,10,24,10,46,10.0,24
10,50,10,24,10,43,10.0,24
11,70,10,24,10,55,10.0,24
10,61,10,24,10,57,10.0,24
10,38,10,24,10,54,10.0,24
10,32,10,24,10,51,10.0,24
10,72,10,24,10,30,10.0,24
10,84,10,24,10,48,10.0,24
10,77,10,24,10,64,10.0,24
10,63,10,24,10,60,10.0,24
10,42,10,24,10,58,10.0,24
10,59,10,24,10,24,10.0,24
10,81,10,24,10,36,10.0,24
10,56,10,24,10,62,10.0,24
10,74,10,24,10,27,11.0,24
10,71,10,24,10,51,10.0,24
,,10,24,10,37,10.0,24
,,,,10,56,10.0,24
,,,,10,25,10.0,24
,,,,10,30,10.0,24
,,,,10,53,10.0,24
,,,,10,66,10.0,24
,,,,10,50,10.0,24
,,,,10,49,10.0,24
,,,,,,10.0,
