(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.0,54.753846153846155,11.428571428571429,24.907692307692308,10.009900990099009,52.45544554455446,10.812807881773399,24.02970297029703
0.0,342.12402366863904,13.061224489795919,46.145325443786966,0.009802960494069207,296.78266836584646,9.245747288213742,0.12783060484266254
0.0,18.49659492092096,3.614031611621005,6.793035068641039,0.099009900990099,17.22738135544246,3.0406820432616333,0.3575340610944117
10,30,10.0,24,10,67,10.0,24
10,80,10,24,10,57,10.0,24
10,70,10,24,10,47,10.0,24
10,41,10,24,10,67,10.0,24
10,57,10,24,10,69,10.0,24
10,43,10,24,10,60,10.0,24
10,74,10,24,10,62,10.0,24
10,71,10,24,10,43,10.0,24
10,79,10,24,10,53,10.0,24
10,27,10,24,10,62,10.0,24
10,46,10,24,10,70,10.0,24
10,61,10,24,10,42,10.0,24
10,31,10,24,10,69,10.0,24
10,78,10,24,10,59,10.0,24
10,69,10,24,10,34,10.0,24
10,38,10,24,10,62,10.0,24
10,69,10,24,10,61,10.0,24
10,36,10,24,10,62,10.0,24
10,65,10,24,10,58,10.0,24
10,56,10,24,10,39,10.0,24
10,30,10,24,10,48,10.0,24
10,63,10,24,10,65,10.0,24
10,51,10,24,10,48,10.0,24
10,47,10,24,10,51,10.0,24
10,59,10,24,10,57,10.0,24
10,60,10,24,10,55,10.0,24
10,57,10,24,10,57,10.0,24
10,58,10,24,10,58,10.0,24
10,55,11,24,10,51,10.0,24
10,55,10,24,10,60,10.0,24
10,61,10,24,10,49,10.0,24
10,46,10,24,10,55,10.0,24
10,27,10,25,10,44,10.0,24
10,44,10,24,10,40,10.0,24
10,31,10,24,10,47,10.0,24
10,49,10,24,10,46,10.0,24
10,50,10,24,10,50,10.0,24
10,50,10,25,10,48,10.0,24
10,36,10,24,10,39,10.0,24
10,49,10,24,10,43,10.0,24
10,43,10,24,10,41,10.0,24
10,45,10,24,10,47,10.0,24
10,52,10,24,10,30,10.0,24
10,26,10,24,10,46,10.0,24
10,49,10,24,10,43,10.0,24
10,47,10,24,10,32,10.0,24
10,47,10,24,10,45,10.0,24
10,48,10,25,10,32,10.0,24
10,40,10,24,10,40,10.0,24
10,41,10,24,10,42,10.0,24
10,43,10,24,10,34,10.0,24
10,43,10,24,10,52,10.0,24
10,25,10,24,10,51,10.0,24
10,49,10,24,10,36,10.0,24
10,38,10,24,10,42,10.0,24
10,48,10,24,10,40,10.0,24
10,39,10,24,10,46,10.0,24
10,54,10,24,10,38,10.0,24
10,43,10,24,10,50,10.0,24
10,47,10,24,11,49,10.0,24
10,40,10,24,10,35,10.0,25
10,43,10,24,10,48,10.0,24
10,44,10,24,10,46,10.0,24
10,40,10,24,10,24,10.0,24
10,50,10,24,10,54,10.0,24
10,45,10,24,10,49,10.0,24
10,48,10,24,10,48,10.0,24
10,41,10,24,11,46,10.0,24
10,32,10,24,10,42,10.0,24
10,41,10,24,10,44,10.0,24
10,39,10,24,10,51,10.0,24
10,41,10,24,10,47,10.0,24
10,46,10,24,10,24,10.0,24
10,41,10,24,10,39,10.0,24
10,48,10,24,10,36,10.0,24
10,39,10,24,10,45,10.0,24
10,40,17,24,10,38,10.0,24
10,43,10,24,10,38,10.0,24
10,31,10,24,10,38,10.0,24
10,45,10,24,10,35,10.0,24
10,45,10,24,10,41,10.0,24
10,50,16,24,10,51,10.0,24
10,61,10,24,10,41,10.0,24
10,39,17,24,10,40,10.0,24
10,63,10,24,10,38,10.0,24
10,55,10,24,10,38,10.0,24
10,60,20,24,10,49,10.0,24
10,64,10,24,10,35,10.0,24
10,56,19,24,10,42,10.0,24
10,66,10,24,10,42,10.0,24
10,28,22,24,10,50,10.0,24
10,96,19,24,10,52,10.0,24
10,52,20,24,10,55,10.0,24
10,51,20,24,10,44,10.0,24
10,87,10,24,10,57,10.0,24
10,38,24,24,10,66,10.0,24
10,78,12,24,10,50,10.0,24
10,25,21,24,10,43,10.0,24
10,60,25,24,10,33,10.0,24
10,84,24,24,10,62,10.0,24
10,30,12,24,10,63,10.0,24
10,63,25,24,10,57,10.0,24
10,87,25,24,10,51,10.0,24
10,100,25,24,10,53,10.0,24
10,100,23,55,10,24,17.0,24
10,55,10,71,10,32,11.0,24
10,51,10,100,10,48,10.0,24
10,42,24,26,10,52,22.0,24
10,78,25,38,10,83,10.0,24
10,61,10,27,10,57,21.0,24
10,100,10,24,10,100,16.0,24
10,32,10,24,10,100,25.0,24
10,97,10,24,10,100,10.0,29
10,100,10,24,10,61,25.0,24
10,34,10,24,10,100,13.0,24
10,82,10,24,10,69,25.0,24
10,100,10,24,10,81,25.0,24
10,77,10,24,10,62,10.0,24
10,100,10,24,10,100,10.0,24
10,100,10,24,10,100,10.0,24
10,100,10,24,10,100,25.0,24
10,72,10,24,10,100,11.0,24
10,100,10,24,10,37,23.0,24
10,100,10,24,10,100,12.0,24
10,84,10,24,10,100,10.0,24
10,100,10,24,10,100,11.0,24
10,100,10,24,10,55,16.0,24
10,83,10,24,10,100,23.0,24
10,70,10,24,10,58,10.0,24
10,87,10,24,10,35,10.0,24
10,69,10,24,10,100,22.0,24
10,80,10,24,10,100,10.0,24
10,35,10,24,10,87,10.0,24
10,55,10,24,10,59,10.0,24
10,79,10,24,10,82,10.0,24
10,29,10,24,10,71,10.0,24
10,37,10,24,10,68,10.0,24
10,60,10,24,10,67,10.0,24
10,60,10,24,10,56,10.0,24
10,69,10,24,10,34,10.0,24
10,55,10,24,10,45,10.0,24
10,66,10,24,10,49,10.0,24
10,69,11,24,10,72,10.0,24
10,59,10,24,10,62,10.0,24
10,61,10,24,10,66,10.0,24
10,68,10,24,10,54,10.0,24
10,63,10,24,10,65,10.0,24
10,34,10,25,10,36,10.0,24
10,61,10,24,10,67,10.0,24
10,68,10,24,10,44,10.0,24
10,63,10,24,10,54,10.0,24
10,49,10,24,10,57,10.0,24
10,69,10,24,10,36,10.0,24
10,48,10,24,10,58,11.0,24
10,59,10,24,10,52,10.0,24
10,60,10,24,10,63,10.0,24
10,45,10,24,10,58,10.0,24
10,55,10,24,10,51,10.0,24
10,45,10,24,10,55,10.0,24
10,55,10,24,10,51,10.0,24
10,48,10,24,10,56,10.0,24
10,26,10,24,10,28,10.0,24
10,52,10,24,10,62,10.0,24
