(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.020725388601036,57.22279792746114,10.845360824742269,24.11917098445596,10.014492753623188,50.51690821256039,10.221153846153847,24.057971014492754
0.030658541168890448,467.00217455502167,2.233818684238495,0.4987516443394454,0.014282713715605962,267.02266097225134,0.3260909763313609,0.20919974795211083
0.17509580568617414,21.610233098118623,1.494596495459057,0.7062235087700249,0.11951030798891768,16.340828038145784,0.5710437604346631,0.45738358950897096
10,35,10.0,24,10,58,11.0,24
10,90,10,24,10,57,10.0,24
10,75,10,24,10,74,10.0,24
10,80,10,24,10,61,10.0,24
10,100,10,24,10,56,10.0,24
10,99,10,29,10,61,10.0,24
10,86,10,24,10,52,10.0,28
10,100,10,24,10,51,10.0,24
12,66,10,26,10,75,10.0,24
10,100,10,31,10,51,10.0,24
10,96,10,25,10,77,10.0,25
10,100,10,24,10,53,11.0,29
10,100,10,24,10,68,10.0,24
10,33,10,24,10,31,10.0,24
10,100,10,28,10,50,10.0,24
10,86,10,24,10,85,10.0,24
10,100,10,24,10,86,10.0,24
10,100,10,24,10,59,10.0,24
10,75,10,24,10,85,10.0,24
10,90,10,25,10,95,10.0,24
10,93,10,25,10,90,10.0,24
10,92,10,24,10,49,10.0,24
10,72,10,24,10,25,10.0,24
10,31,10,24,10,68,10.0,24
10,71,10,24,10,68,10.0,24
10,55,10,24,10,65,10.0,24
10,51,10,24,10,57,10.0,24
10,59,10,24,10,74,10.0,24
10,33,10,24,11,36,10.0,24
10,43,11,24,10,54,10.0,24
10,51,10,24,10,54,10.0,25
10,54,10,24,10,27,10.0,24
10,36,10,25,10,40,10.0,24
10,68,10,24,10,47,10.0,24
10,67,10,24,10,48,10.0,24
10,58,10,24,10,31,10.0,24
10,66,10,24,10,49,10.0,24
10,52,10,24,10,46,10.0,24
10,47,10,24,10,44,10.0,24
10,66,10,24,10,56,10.0,24
10,43,10,24,10,65,10.0,24
10,64,10,24,10,59,10.0,24
10,33,10,24,10,60,10.0,24
10,30,10,24,10,59,10.0,24
10,80,10,24,10,48,10.0,24
10,62,10,24,10,45,10.0,24
10,31,10,24,10,56,10.0,24
10,29,10,24,10,56,10.0,24
10,66,11,24,10,36,10.0,24
10,48,10,24,10,38,10.0,24
10,55,10,24,10,64,10.0,24
11,51,10,24,10,59,10.0,24
10,66,10,24,10,34,10.0,24
10,31,10,24,10,28,10.0,24
10,52,11,24,10,48,10.0,24
10,60,11,24,10,58,10.0,24
10,56,10,24,10,57,10.0,24
10,34,10,24,10,54,10.0,24
10,74,13,24,10,59,10.0,24
10,52,10,24,10,35,10.0,24
10,47,13,24,10,49,10.0,24
10,51,12,24,10,54,10.0,24
10,32,12,24,10,66,10.0,24
10,38,10,24,10,40,10.0,24
10,52,12,24,10,60,11.0,24
10,49,13,24,10,54,10.0,24
10,54,11,24,10,39,10.0,24
10,33,12,24,10,50,10.0,24
10,56,14,24,10,38,10.0,24
10,58,14,24,10,34,10.0,24
10,34,16,24,10,43,10.0,24
10,77,14,24,10,35,11.0,24
10,55,13,24,10,36,12.0,24
10,40,14,24,10,46,12.0,24
10,55,15,24,10,29,10.0,24
10,50,13,24,10,38,12.0,24
10,57,15,24,10,74,13.0,24
10,64,14,24,10,24,10.0,24
10,56,13,24,10,68,10.0,24
10,60,12,24,10,41,12.0,24
10,46,14,24,10,36,11.0,24
10,57,13,24,11,59,11.0,24
10,46,14,24,10,37,12.0,24
10,40,16,24,10,48,12.0,24
10,36,15,24,10,54,10.0,24
10,50,13,24,10,32,10.0,24
10,100,10,24,10,62,12.0,24
10,56,13,24,10,41,11.0,24
10,85,16,24,10,52,12.0,24
10,47,15,24,10,44,10.0,24
10,76,15,24,10,63,10.0,24
10,72,13,24,10,42,10.0,24
10,100,16,24,10,24,11.0,24
10,28,10,24,10,40,11.0,24
10,100,10,24,10,39,10.0,24
10,43,10,24,10,25,11.0,24
10,89,10,24,10,68,11.0,24
10,100,10,24,10,53,11.0,24
10,100,10,24,10,49,10.0,24
10,100,10,24,10,31,10.0,24
10,32,10,24,10,42,12.0,24
10,100,10,24,11,55,11.0,24
10,100,10,24,10,50,10.0,24
10,94,10,24,10,63,10.0,24
10,25,10,24,10,55,11.0,24
10,63,10,24,10,94,11.0,24
10,100,10,24,10,97,12.0,24
10,100,10,24,10,93,12.0,24
10,46,10,24,10,100,12.0,24
10,100,10,24,10,54,12.0,24
10,61,10,24,10,27,10.0,24
10,51,10,24,10,100,10.0,24
10,82,10,24,10,86,10.0,24
10,82,10,24,10,90,10.0,24
10,100,10,24,10,85,10.0,24
10,78,10,24,10,82,10.0,24
10,78,10,24,10,47,10.0,24
10,81,10,24,10,76,10.0,24
10,81,10,24,10,64,10.0,24
10,75,10,24,10,66,10.0,24
10,48,10,24,10,26,11.0,24
10,52,10,24,10,35,10.0,24
10,47,10,24,10,48,10.0,24
10,47,10,24,10,72,10.0,24
10,44,10,25,10,75,10.0,24
10,48,10,24,10,43,10.0,24
10,61,10,24,10,56,10.0,24
10,33,10,24,10,63,10.0,24
10,61,10,24,10,59,10.0,24
10,30,10,24,10,62,10.0,24
10,75,11,24,10,70,10.0,24
10,36,10,24,10,57,10.0,24
10,49,10,24,10,56,10.0,24
10,64,10,24,10,47,10.0,24
10,47,10,24,10,52,10.0,24
10,59,10,24,10,35,10.0,24
11,53,10,24,10,64,10.0,24
10,48,10,24,10,45,10.0,24
10,46,10,24,10,50,10.0,25
10,48,10,24,10,51,10.0,24
10,53,10,24,10,43,10.0,24
10,44,10,24,10,59,10.0,24
10,56,10,24,10,34,10.0,24
10,56,10,24,10,55,10.0,24
10,35,10,24,10,47,10.0,24
10,47,10,24,10,49,10.0,24
10,46,10,24,10,44,10.0,24
10,56,10,24,10,62,10.0,24
10,43,10,24,10,46,10.0,24
10,54,10,24,10,55,10.0,24
10,44,10,24,10,52,10.0,24
10,56,10,24,10,53,10.0,24
10,58,10,24,10,51,10.0,24
10,39,10,24,10,41,10.0,24
10,51,10,24,10,54,10.0,24
10,43,10,24,10,37,10.0,24
10,46,11,24,10,41,10.0,24
10,40,12,24,10,46,10.0,24
10,38,12,24,10,50,10.0,24
10,51,10,24,10,52,10.0,24
10,27,10,24,10,48,10.0,24
10,40,10,24,10,52,10.0,24
10,48,11,24,10,53,10.0,24
10,45,12,24,10,48,10.0,24
10,40,10,24,10,51,10.0,24
10,37,12,24,10,57,10.0,24
10,38,11,24,10,36,10.0,24
10,26,12,24,10,59,10.0,24
10,40,12,24,10,49,10.0,24
10,36,11,24,10,35,11.0,24
10,36,10,24,10,49,10.0,24
10,44,10,24,10,46,10.0,24
10,30,10,24,10,49,10.0,24
10,40,12,24,10,29,10.0,24
10,38,11,24,10,35,10.0,24
10,25,10,24,10,43,10.0,24
10,49,10,24,10,46,10.0,24
10,57,10,24,10,49,10.0,24
10,51,10,24,10,31,10.0,24
10,39,11,24,10,27,10.0,24
10,38,11,24,10,25,10.0,24
10,36,11,24,10,30,10.0,24
10,32,13,24,10,24,10.0,24
10,35,12,24,10,41,10.0,24
10,37,11,24,10,34,10.0,24
10,43,10,24,10,43,10.0,24
10,32,13,24,10,24,10.0,24
10,43,12,24,10,37,10.0,24
10,40,12,24,10,33,10.0,24
10,43,11,24,10,32,10.0,24
10,31,11,24,10,24,10.0,24
10,47,12,24,10,39,10.0,24
10,38,11,24,10,33,10.0,24
,,11,,10,31,10.0,24
,,,,10,41,10.0,24
,,,,10,27,10.0,24
,,,,10,47,10.0,24
,,,,10,34,10.0,24
,,,,10,36,10.0,24
,,,,10,32,10.0,24
,,,,10,50,10.0,24
,,,,10,38,10.0,24
,,,,10,38,10.0,24
,,,,10,39,10.0,24
,,,,10,35,10.0,24
,,,,10,44,10.0,24
,,,,10,43,10.0,24
,,,,,,10.0,
