step_time,step_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
301.0,1,1535.0,1535.0,78,89
302.0,1,15.0,1550.0,78,90
303.0,1,16.0,1566.0,78,91
304.0,2,18.0,1584.0,78,91
305.0,1,18.0,1602.0,78,92
306.0,0,17.0,1619.0,78,92
307.0,4,21.0,1640.0,78,92
308.0,1,22.0,1662.0,78,92
309.0,1,22.0,1684.0,78,92
310.0,1,23.0,1707.0,78,92
311.0,2,25.0,1732.0,78,92
312.0,1,24.0,1756.0,78,92
313.0,3,22.0,1778.0,78,92
314.0,2,19.0,1797.0,78,92
315.0,3,20.0,1817.0,78,93
316.0,1,21.0,1838.0,80,94
317.0,1,22.0,1860.0,80,94
318.0,3,24.0,1884.0,82,94
319.0,3,25.0,1909.0,82,95
320.0,2,25.0,1934.0,82,95
321.0,2,25.0,1959.0,84,97
322.0,5,29.0,1988.0,84,97
323.0,0,28.0,2016.0,84,97
324.0,2,30.0,2046.0,84,98
325.0,0,29.0,2075.0,84,99
326.0,1,30.0,2105.0,84,99
327.0,2,31.0,2136.0,85,99
328.0,2,33.0,2169.0,85,99
329.0,3,36.0,2205.0,85,99
330.0,1,36.0,2241.0,85,99
331.0,1,36.0,2277.0,85,99
332.0,3,38.0,2315.0,85,99
333.0,3,40.0,2355.0,85,99
334.0,4,42.0,2397.0,85,99
335.0,1,42.0,2439.0,85,99
336.0,1,42.0,2481.0,85,99
337.0,2,44.0,2525.0,85,99
338.0,1,44.0,2569.0,85,99
339.0,0,41.0,2610.0,85,99
340.0,0,41.0,2651.0,85,99
341.0,1,41.0,2692.0,85,99
342.0,2,43.0,2735.0,85,100
343.0,1,44.0,2779.0,85,100
344.0,3,46.0,2825.0,86,100
345.0,1,47.0,2872.0,86,100
346.0,0,46.0,2918.0,86,100
347.0,1,47.0,2965.0,87,100
348.0,1,48.0,3013.0,87,100
349.0,2,49.0,3062.0,87,100
350.0,2,49.0,3111.0,87,100
351.0,0,43.0,3154.0,87,100
352.0,6,45.0,3199.0,87,100
353.0,2,43.0,3242.0,87,101
354.0,1,39.0,3281.0,89,101
355.0,2,36.0,3317.0,89,102
356.0,2,35.0,3352.0,89,102
357.0,0,31.0,3383.0,89,103
358.0,3,32.0,3415.0,90,103
359.0,3,31.0,3446.0,90,105
360.0,5,32.0,3478.0,91,105
361.0,5,31.0,3509.0,91,106
362.0,0,28.0,3537.0,92,107
363.0,1,27.0,3564.0,92,107
364.0,2,27.0,3591.0,93,109
365.0,1,24.0,3615.0,94,109
366.0,2,24.0,3639.0,95,109
367.0,3,23.0,3662.0,95,110
368.0,2,20.0,3682.0,96,111
369.0,0,18.0,3700.0,97,111
370.0,2,17.0,3717.0,98,112
371.0,0,15.0,3732.0,98,113
372.0,2,16.0,3748.0,98,113
373.0,0,14.0,3762.0,100,113
374.0,0,12.0,3774.0,100,115
375.0,1,12.0,3786.0,101,115
