(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.005,53.15,10.91044776119403,24.223880597014926,10.070422535211268,47.028169014084504,10.266355140186915,24.434579439252335
0.004975000000000003,276.1475,4.15118437662434,2.9697779757926783,0.13119090127620178,252.78793890101173,1.0645689579875972,8.077495851166043
0.07053367989832944,16.617686361223694,2.0374455518183403,1.7233043770015437,0.36220284548330345,15.899306239613468,1.0317795103546092,2.8420935683340973
10,77,11.0,24,10,50,10.0,24.0
11,53,11,24,10,55,10.0,24.0
10,43,12,24,10,33,10.0,24.0
10,47,16,24,10,47,10.0,24.0
10,48,10,24,10,62,10.0,24.0
10,44,14,24,10,27,10.0,24.0
10,38,16,24,10,53,10.0,24.0
10,40,10,24,10,39,10.0,24.0
10,42,10,24,10,39,10.0,24.0
10,40,10,24,10,38,10.0,24.0
10,35,10,24,10,39,10.0,24.0
10,40,10,24,10,41,10.0,24.0
10,35,10,24,10,36,10.0,24.0
10,38,11,24,10,41,10.0,24.0
10,43,14,24,10,37,10.0,24.0
10,56,10,24,13,34,10.0,24.0
10,56,10,24,10,37,10.0,24.0
10,39,10,24,10,28,10.0,24.0
10,48,10,24,10,30,10.0,24.0
10,38,10,24,10,31,10.0,24.0
10,26,14,24,10,27,10.0,24.0
10,59,12,24,10,29,10.0,24.0
10,33,13,24,10,40,10.0,24.0
10,30,10,24,10,49,10.0,24.0
10,44,15,24,10,32,10.0,24.0
10,32,10,24,10,33,10.0,24.0
10,31,10,24,10,31,10.0,24.0
10,31,11,24,10,31,10.0,24.0
10,41,10,24,10,28,10.0,24.0
10,34,10,24,10,34,10.0,24.0
10,45,10,24,10,35,10.0,24.0
10,64,10,24,10,31,10.0,24.0
10,37,15,24,10,40,10.0,24.0
10,31,10,24,10,29,10.0,24.0
10,39,10,24,10,25,10.0,24.0
10,37,16,24,10,31,10.0,24.0
10,39,10,24,10,48,10.0,24.0
10,51,10,24,10,46,10.0,24.0
10,78,10,24,10,36,10.0,24.0
10,75,10,24,10,59,10.0,24.0
10,59,10,24,10,83,10.0,24.0
10,52,10,24,10,61,10.0,24.0
10,55,10,24,10,37,10.0,24.0
10,25,10,24,10,48,10.0,24.0
10,80,10,24,10,52,10.0,24.0
10,64,10,24,10,42,10.0,24.0
10,81,10,24,10,60,10.0,24.0
10,81,10,24,10,59,11.0,24.0
10,67,10,24,10,27,12.0,24.0
10,58,10,24,10,37,10.0,24.0
10,63,10,24,10,51,11.0,24.0
10,69,10,24,10,67,10.0,24.0
10,50,10,24,10,65,10.0,24.0
10,62,10,24,10,54,11.0,24.0
10,86,10,24,10,44,10.0,24.0
10,75,10,24,10,29,10.0,24.0
10,63,10,25,11,70,10.0,24.0
10,63,10,24,10,57,10.0,24.0
10,64,10,24,10,53,10.0,24.0
10,82,10,24,10,63,10.0,24.0
10,90,10,24,10,46,10.0,24.0
10,74,10,24,10,61,10.0,24.0
10,72,10,24,10,56,10.0,24.0
10,35,10,24,10,55,10.0,24.0
10,87,10,24,10,56,10.0,24.0
10,41,10,24,10,65,10.0,24.0
10,52,10,24,10,43,10.0,24.0
10,55,10,24,10,59,10.0,24.0
10,51,10,24,10,59,10.0,24.0
10,47,10,24,10,64,10.0,24.0
10,54,10,24,10,75,17.0,24.0
10,43,10,24,10,43,12.0,24.0
10,58,10,24,10,53,13.0,24.0
10,62,10,24,10,47,10.0,24.0
10,50,10,25,10,55,10.0,24.0
10,24,10,24,10,48,10.0,24.0
10,78,10,24,10,53,10.0,24.0
10,34,10,24,10,50,10.0,24.0
10,51,10,24,10,57,10.0,24.0
10,57,10,24,10,40,10.0,24.0
10,28,10,24,10,34,10.0,24.0
10,57,10,24,10,32,10.0,24.0
10,62,10,24,10,55,10.0,24.0
10,65,10,24,10,64,10.0,24.0
10,41,10,24,10,54,10.0,24.0
10,52,10,24,10,75,10.0,24.0
10,81,10,24,10,31,10.0,24.0
