step_time,step_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
301.0,0,1320.0,1320.0,80,94
302.0,0,14.0,1334.0,80,94
303.0,2,16.0,1350.0,80,94
304.0,1,17.0,1367.0,80,95
305.0,3,20.0,1387.0,80,95
306.0,1,19.0,1406.0,80,95
307.0,2,21.0,1427.0,80,95
308.0,1,22.0,1449.0,80,95
309.0,1,22.0,1471.0,80,95
310.0,2,23.0,1494.0,80,95
311.0,2,25.0,1519.0,80,95
312.0,3,28.0,1547.0,80,95
313.0,1,23.0,1570.0,80,95
314.0,1,18.0,1588.0,80,95
315.0,3,18.0,1606.0,80,95
316.0,2,20.0,1626.0,81,96
317.0,3,22.0,1648.0,82,96
318.0,0,20.0,1668.0,82,97
319.0,2,22.0,1690.0,83,98
320.0,2,24.0,1714.0,84,99
321.0,1,23.0,1737.0,84,100
322.0,2,24.0,1761.0,85,100
323.0,2,26.0,1787.0,86,101
324.0,2,28.0,1815.0,86,101
325.0,1,28.0,1843.0,86,101
326.0,2,29.0,1872.0,87,102
327.0,1,29.0,1901.0,87,102
328.0,2,30.0,1931.0,87,102
329.0,1,31.0,1962.0,87,102
330.0,3,33.0,1995.0,87,102
331.0,0,31.0,2026.0,87,102
332.0,4,35.0,2061.0,87,102
333.0,1,35.0,2096.0,87,102
334.0,3,37.0,2133.0,87,102
335.0,1,37.0,2170.0,87,102
336.0,1,38.0,2208.0,87,102
337.0,1,39.0,2247.0,87,102
338.0,3,42.0,2289.0,87,102
339.0,1,38.0,2327.0,87,102
340.0,2,38.0,2365.0,87,102
341.0,1,38.0,2403.0,87,102
342.0,1,38.0,2441.0,88,102
343.0,0,38.0,2479.0,89,103
344.0,2,40.0,2519.0,89,103
345.0,2,42.0,2561.0,91,103
346.0,1,42.0,2603.0,91,103
347.0,1,43.0,2646.0,91,103
348.0,2,44.0,2690.0,91,103
349.0,1,43.0,2733.0,91,103
350.0,2,44.0,2777.0,91,103
351.0,2,42.0,2819.0,91,103
352.0,1,39.0,2858.0,91,103
353.0,2,37.0,2895.0,91,103
354.0,1,35.0,2930.0,91,103
355.0,0,31.0,2961.0,93,105
356.0,2,32.0,2993.0,93,105
357.0,1,29.0,3022.0,93,105
358.0,0,25.0,3047.0,94,106
359.0,3,27.0,3074.0,95,107
360.0,1,24.0,3098.0,95,108
361.0,1,22.0,3120.0,96,108
362.0,2,21.0,3141.0,97,109
363.0,1,20.0,3161.0,98,110
364.0,0,18.0,3179.0,99,110
365.0,1,16.0,3195.0,99,111
366.0,2,16.0,3211.0,99,111
367.0,2,16.0,3227.0,101,113
368.0,3,15.0,3242.0,101,113
369.0,2,14.0,3256.0,102,114
370.0,1,12.0,3268.0,102,115
371.0,1,11.0,3279.0,103,115
372.0,1,11.0,3290.0,104,116
373.0,2,10.0,3300.0,104,117
374.0,2,9.0,3309.0,106,118
375.0,2,10.0,3319.0,106,118
376.0,1,9.0,3328.0,106,120
377.0,0,7.0,3335.0,107,120
378.0,2,9.0,3344.0,107,121
379.0,0,8.0,3352.0,107,122
380.0,1,9.0,3361.0,109,122
381.0,1,9.0,3370.0,109,122
382.0,0,8.0,3378.0,109,123
383.0,1,9.0,3387.0,110,123
384.0,0,8.0,3395.0,110,124
385.0,0,8.0,3403.0,110,124
386.0,0,8.0,3411.0,112,124
387.0,1,9.0,3420.0,112,124
388.0,2,11.0,3431.0,113,124
389.0,1,11.0,3442.0,113,124
390.0,0,11.0,3453.0,114,125
391.0,0,11.0,3464.0,114,125
392.0,1,12.0,3476.0,114,126
393.0,0,12.0,3488.0,114,126
394.0,0,12.0,3500.0,116,126
395.0,0,12.0,3512.0,116,127
396.0,0,12.0,3524.0,117,127
397.0,0,12.0,3536.0,117,127
398.0,0,12.0,3548.0,117,128
399.0,0,12.0,3560.0,117,128
400.0,0,12.0,3572.0,118,128
401.0,0,12.0,3584.0,118,129
402.0,0,10.0,3594.0,118,129
403.0,0,9.0,3603.0,118,129
404.0,0,9.0,3612.0,118,129
405.0,0,9.0,3621.0,118,130
406.0,1,10.0,3631.0,118,131
407.0,2,11.0,3642.0,118,131
408.0,1,12.0,3654.0,118,132
409.0,3,15.0,3669.0,118,132
410.0,3,17.0,3686.0,118,132
411.0,1,15.0,3701.0,118,133
412.0,2,14.0,3715.0,118,133
413.0,2,15.0,3730.0,118,133
414.0,2,14.0,3744.0,119,133
415.0,0,13.0,3757.0,120,133
416.0,4,16.0,3773.0,121,133
417.0,1,17.0,3790.0,121,134
418.0,2,19.0,3809.0,122,134
419.0,0,19.0,3828.0,122,135
420.0,1,20.0,3848.0,122,135
421.0,2,22.0,3870.0,123,135
422.0,2,24.0,3894.0,123,136
