(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.0,51.755,12.567164179104477,24.005,10.004651162790697,46.55348837209302,10.319444444444445,24.00462962962963
0.0,297.204975,24.046483997920845,0.0049749999999999985,0.004629529475392104,133.75411573823686,2.8285108024691366,0.004608196159122084
0.0,17.239633841819263,4.903721443752779,0.07053367989832941,0.06804064575966415,11.565211443732313,1.681817707859308,0.06788369582692212
10,53,10.0,24,10,44,10.0,24.0
10,42,13,24,10,50,10.0,24.0
10,55,10,24,10,24,10.0,24.0
10,40,16,24,10,39,10.0,24.0
10,39,10,24,10,45,10.0,24.0
10,28,17,24,10,44,10.0,24.0
10,49,11,24,10,36,10.0,24.0
10,40,11,24,10,40,10.0,24.0
10,41,10,24,10,38,10.0,24.0
10,43,16,24,10,33,10.0,24.0
10,40,10,24,10,38,10.0,24.0
10,41,10,24,10,38,10.0,24.0
10,34,10,24,10,38,10.0,24.0
10,38,10,24,10,39,10.0,24.0
10,39,10,24,10,34,10.0,24.0
10,34,10,24,10,31,10.0,24.0
10,35,10,24,10,35,10.0,24.0
10,35,10,24,10,37,10.0,24.0
10,37,10,24,10,35,10.0,24.0
10,35,10,24,10,28,10.0,24.0
10,34,10,24,10,36,10.0,24.0
10,36,12,24,10,38,10.0,24.0
10,31,10,24,10,31,10.0,24.0
10,38,10,24,10,37,10.0,24.0
10,36,10,24,10,35,10.0,24.0
10,38,10,24,10,26,10.0,24.0
10,36,10,24,10,34,10.0,24.0
10,34,12,24,10,38,10.0,24.0
10,38,12,24,10,39,10.0,24.0
10,48,10,24,10,34,10.0,24.0
10,43,10,24,10,30,10.0,24.0
10,45,12,24,10,42,10.0,24.0
10,39,12,24,10,36,10.0,24.0
10,47,10,24,10,45,10.0,24.0
10,41,12,24,10,39,10.0,24.0
10,44,16,24,10,38,10.0,24.0
10,63,10,24,10,53,10.0,24.0
10,52,10,24,10,52,10.0,24.0
10,29,10,24,10,42,10.0,24.0
10,24,10,24,10,55,10.0,24.0
10,61,10,24,10,54,10.0,24.0
10,38,10,24,10,45,10.0,24.0
10,65,10,24,10,46,10.0,24.0
10,69,10,24,10,30,10.0,24.0
10,34,10,24,10,47,10.0,24.0
10,56,10,24,10,24,10.0,24.0
10,63,10,24,10,58,10.0,24.0
10,65,10,24,10,50,10.0,24.0
10,65,10,24,10,47,10.0,24.0
10,65,10,25,10,53,10.0,24.0
10,27,10,24,10,25,10.0,24.0
10,71,10,24,10,30,10.0,24.0
10,56,10,24,10,53,10.0,24.0
10,72,10,24,10,43,10.0,24.0
10,82,10,24,10,57,10.0,24.0
10,80,10,24,10,54,10.0,24.0
10,39,10,24,10,59,10.0,24.0
10,82,10,24,10,62,10.0,24.0
10,52,10,24,10,68,10.0,24.0
10,86,10,24,10,52,10.0,24.0
10,24,10,24,10,61,10.0,24.0
10,69,10,24,10,54,11.0,24.0
10,60,10,24,10,56,10.0,24.0
10,61,10,24,10,51,10.0,24.0
10,59,10,24,10,33,10.0,24.0
10,56,10,24,10,55,10.0,24.0
10,27,10,24,10,53,10.0,24.0
10,68,10,24,11,50,10.0,24.0
10,60,10,24,10,54,10.0,24.0
10,40,10,24,10,46,10.0,24.0
10,47,10,24,10,61,10.0,24.0
10,38,10,24,10,46,10.0,24.0
10,58,10,24,10,53,10.0,24.0
10,37,10,24,10,48,10.0,24.0
10,37,10,24,10,52,11.0,24.0
10,34,10,24,10,24,10.0,24.0
10,45,10,24,10,48,10.0,24.0
10,36,10,24,10,45,10.0,24.0
10,40,10,24,10,33,10.0,24.0
10,42,13,24,10,41,10.0,24.0
10,50,10,24,10,37,10.0,24.0
10,38,10,24,10,41,10.0,24.0
10,54,10,24,10,54,21.0,24.0
