(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.024271844660195,50.81553398058252,10.439613526570048,24.024271844660195,10.013574660633484,44.35909090909091,10.18552036199095,24.018099547511312
0.08193514940145162,313.6358752003016,1.03862400522766,0.02368272221698558,0.0133903892221699,206.76650826446283,0.3954464486804119,0.017771953891197966
0.28624316481175865,17.70976779069397,1.0191290424807156,0.153891917321819,0.11571684934429341,14.379377881690948,0.6288453296959531,0.13331149196973968
10,37,10.0,24,10.0,56,10.0,25.0
10,46,17,24,10.0,43,10.0,24.0
10,44,10,24,10.0,26,10.0,24.0
10,63,10,24,10.0,29,10.0,24.0
10,33,11,24,10.0,28,10.0,24.0
10,40,10,24,10.0,34,10.0,24.0
10,35,10,24,10.0,32,10.0,24.0
10,35,11,24,10.0,28,10.0,24.0
10,30,10,24,10.0,24,10.0,24.0
10,57,12,25,10.0,51,10.0,24.0
10,46,14,24,10.0,33,10.0,25.0
10,47,12,24,10.0,31,10.0,24.0
10,43,12,24,10.0,33,10.0,24.0
10,54,16,24,11.0,40,10.0,24.0
10,35,10,24,10.0,33,10.0,24.0
10,38,10,24,10.0,29,10.0,24.0
10,31,10,24,11.0,33,10.0,24.0
10,46,10,24,10.0,31,10.0,24.0
10,29,12,24,10.0,31,10.0,24.0
10,37,10,25,10.0,27,10.0,24.0
10,46,10,24,10.0,35,10.0,24.0
10,59,11,24,10.0,37,10.0,24.0
10,48,12,24,10.0,34,10.0,24.0
10,38,11,24,10.0,31,10.0,24.0
10,42,11,24,10.0,51,10.0,24.0
10,41,11,24,10.0,52,10.0,24.0
10,39,11,24,10.0,38,10.0,24.0
10,38,13,24,10.0,42,10.0,24.0
10,37,11,24,10.0,42,10.0,24.0
10,27,10,24,10.0,29,10.0,24.0
10,28,11,24,10.0,34,10.0,24.0
10,33,12,24,10.0,26,10.0,24.0
10,31,11,24,10.0,31,10.0,24.0
10,32,10,24,10.0,37,10.0,24.0
10,32,12,24,10.0,26,10.0,24.0
10,32,13,24,10.0,35,10.0,24.0
10,90,10,24,10.0,31,10.0,24.0
10,70,10,24,10.0,26,10.0,24.0
10,37,10,24,10.0,41,10.0,24.0
10,49,10,24,10.0,30,10.0,24.0
10,39,10,24,10.0,38,10.0,24.0
10,83,10,24,10.0,27,10.0,24.0
10,67,10,24,10.0,57,10.0,24.0
10,58,10,24,10.0,64,10.0,24.0
10,84,10,24,10.0,49,10.0,24.0
10,69,10,24,10.0,57,10.0,24.0
10,81,10,24,10.0,64,10.0,24.0
10,100,10,24,10.0,28,10.0,24.0
10,65,10,24,10.0,60,10.0,24.0
10,38,10,24,10.0,47,10.0,24.0
10,98,10,24,10.0,30,10.0,24.0
10,61,10,24,10.0,100,10.0,24.0
10,82,10,24,10.0,54,10.0,24.0
10,95,10,24,10.0,55,11.0,24.0
10,69,10,24,10.0,36,10.0,24.0
10,63,10,24,10.0,92,10.0,24.0
10,100,10,24,10.0,27,11.0,24.0
10,94,10,24,10.0,51,13.0,24.0
10,42,10,24,10.0,100,14.0,24.0
10,72,10,24,10.0,48,10.0,24.0
10,100,10,24,10.0,55,13.0,24.0
10,72,10,24,10.0,51,12.0,24.0
10,46,10,24,10.0,63,11.0,24.0
10,94,10,24,10.0,44,10.0,24.0
10,64,10,24,10.0,25,11.0,24.0
10,37,10,24,10.0,64,11.0,24.0
10,51,10,24,10.0,56,10.0,24.0
10,57,10,24,10.0,63,10.0,24.0
10,46,10,24,10.0,49,10.0,24.0
10,41,10,24,10.0,61,10.0,24.0
10,64,10,24,10.0,51,11.0,24.0
10,36,10,24,10.0,74,10.0,24.0
10,68,10,24,10.0,25,10.0,24.0
10,53,10,24,10.0,40,10.0,24.0
10,40,10,24,10.0,37,10.0,24.0
10,78,10,24,10.0,67,10.0,24.0
10,51,10,24,10.0,74,10.0,24.0
10,55,10,24,10.0,47,10.0,24.0
10,42,10,24,10.0,58,10.0,24.0
10,57,10,24,10.0,42,10.0,24.0
10,44,10,24,10.0,31,10.0,24.0
10,47,10,24,10.0,41,10.0,24.0
10,49,10,24,10.0,49,10.0,24.0
10,54,10,24,10.0,32,10.0,24.0
10,43,10,24,10.0,71,10.0,24.0
10,30,10,24,10.0,48,10.0,24.0
10,27,10,24,10.0,62,10.0,24.0
