(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.01530612244898,54.61224489795919,11.527918781725889,24.304568527918782,10.009389671361502,48.10377358490566,10.028169014084508,24.014084507042252
0.015071845064556433,373.61495210329036,12.35074338426654,14.211806539720168,0.009301505433225329,275.3288536845853,0.08371354889902796,0.023275805065132583
0.12276744301546902,19.329121865808865,3.5143624434976166,3.7698549759533413,0.09644431260175651,16.593036300948217,0.28933293780526953,0.152564101495511
10,42,10.0,24,10.0,46,10.0,24.0
10,60,10,24,10.0,35,10.0,24.0
10,56,10,24,10.0,27,10.0,24.0
10,46,11,24,10.0,47,10.0,24.0
10,39,10,24,10.0,46,10.0,24.0
10,43,14,24,10.0,44,10.0,24.0
10,38,10,24,10.0,43,10.0,24.0
10,48,12,24,10.0,44,10.0,24.0
10,35,13,24,10.0,33,10.0,24.0
10,44,13,24,10.0,53,10.0,24.0
10,43,10,24,10.0,40,10.0,24.0
10,48,13,24,10.0,40,10.0,24.0
10,43,13,24,10.0,37,10.0,24.0
10,55,10,24,10.0,33,10.0,24.0
10,40,12,24,10.0,53,10.0,24.0
10,59,13,24,10.0,42,10.0,24.0
10,50,13,24,10.0,46,10.0,24.0
10,24,11,24,10.0,45,10.0,24.0
10,71,13,24,10.0,36,10.0,24.0
10,49,13,24,10.0,34,10.0,24.0
10,60,12,24,10.0,37,10.0,24.0
10,59,15,24,10.0,38,10.0,24.0
10,43,16,24,10.0,25,10.0,24.0
10,34,19,24,10.0,31,10.0,24.0
10,40,17,24,10.0,34,10.0,24.0
10,34,17,24,10.0,59,10.0,24.0
10,41,18,24,10.0,39,10.0,24.0
10,46,15,24,10.0,45,10.0,24.0
10,39,15,24,10.0,48,10.0,24.0
10,40,14,24,10.0,42,10.0,24.0
10,36,12,24,10.0,40,10.0,24.0
10,41,13,24,10.0,35,10.0,24.0
10,27,11,24,10.0,37,10.0,24.0
10,48,11,24,10.0,34,10.0,24.0
10,75,10,24,10.0,38,10.0,24.0
10,79,10,24,10.0,30,10.0,24.0
10,24,10,24,10.0,53,10.0,24.0
10,71,10,24,10.0,54,10.0,24.0
10,33,10,24,10.0,27,10.0,24.0
10,86,10,24,10.0,49,10.0,24.0
10,75,10,24,10.0,58,10.0,24.0
10,63,10,24,10.0,55,10.0,24.0
10,66,10,24,10.0,66,10.0,24.0
10,61,10,24,10.0,51,10.0,24.0
10,53,10,24,10.0,46,10.0,24.0
10,65,10,24,10.0,51,10.0,24.0
10,70,10,24,10.0,59,10.0,24.0
10,51,10,24,10.0,51,10.0,24.0
10,72,10,24,10.0,47,10.0,24.0
10,49,10,24,10.0,55,10.0,24.0
10,59,10,24,10.0,53,10.0,24.0
10,74,10,24,10.0,44,10.0,24.0
10,72,10,24,10.0,50,10.0,24.0
10,56,10,24,10.0,28,10.0,24.0
10,36,11,24,10.0,56,10.0,24.0
10,49,10,24,10.0,24,10.0,24.0
10,28,10,24,10.0,50,10.0,24.0
10,61,10,24,10.0,48,10.0,24.0
10,36,10,24,11.0,43,10.0,26.0
10,64,10,24,10.0,38,10.0,24.0
10,53,10,24,10.0,28,10.0,24.0
10,50,10,24,10.0,67,10.0,24.0
10,54,10,24,10.0,41,10.0,24.0
10,67,10,24,10.0,44,10.0,25.0
10,45,10,24,10.0,42,10.0,24.0
10,35,10,24,10.0,46,10.0,24.0
10,53,10,24,10.0,56,10.0,24.0
10,39,10,24,10.0,49,10.0,24.0
10,35,10,24,10.0,32,10.0,24.0
10,57,10,24,10.0,57,10.0,24.0
10,44,10,24,10.0,56,10.0,24.0
10,43,10,24,10.0,57,10.0,24.0
10,41,10,24,10.0,48,10.0,24.0
10,41,10,24,10.0,38,10.0,24.0
10,44,10,24,10.0,46,10.0,24.0
10,45,10,24,10.0,51,10.0,24.0
10,40,10,24,10.0,45,10.0,24.0
10,62,10,24,10.0,41,10.0,24.0
10,32,10,24,10.0,39,10.0,24.0
10,39,10,24,10.0,44,10.0,24.0
10,29,10,24,10.0,45,10.0,24.0
10,46,10,24,10.0,43,10.0,24.0
10,42,10,24,10.0,51,10.0,24.0
10,41,10,24,10.0,28,10.0,24.0
10,43,10,24,10.0,53,10.0,24.0
10,31,10,24,10.0,44,10.0,24.0
10,45,10,24,10.0,39,10.0,24.0
11,63,10,24,10.0,49,10.0,24.0
10,38,10,24,10.0,45,10.0,24.0
10,31,10,24,10.0,40,10.0,24.0
10,34,10,24,10.0,42,10.0,24.0
10,42,10,24,10.0,37,10.0,24.0
10,39,10,24,10.0,44,10.0,24.0
10,44,10,24,10.0,51,10.0,24.0
10,36,10,24,10.0,34,10.0,24.0
10,44,10,24,10.0,40,10.0,24.0
10,40,10,24,11.0,34,10.0,24.0
10,45,10,24,10.0,40,10.0,24.0
10,57,10,24,10.0,41,10.0,24.0
10,41,10,24,10.0,41,10.0,24.0
10,62,10,24,10.0,42,10.0,24.0
10,37,10,24,10.0,36,10.0,24.0
10,29,10,24,10.0,49,10.0,24.0
10,30,10,24,10.0,46,10.0,24.0
10,50,10,24,10.0,41,10.0,24.0
10,39,10,24,10.0,46,10.0,24.0
10,46,10,24,10.0,46,10.0,24.0
10,51,10,24,10.0,52,10.0,24.0
10,40,12,24,10.0,40,10.0,24.0
10,36,10,24,10.0,36,10.0,24.0
10,52,10,24,10.0,42,10.0,24.0
10,48,11,24,10.0,41,10.0,24.0
10,43,10,24,10.0,47,10.0,24.0
10,47,10,24,10.0,51,10.0,24.0
10,44,12,24,10.0,30,10.0,24.0
10,89,13,24,10.0,59,10.0,24.0
10,66,11,24,10.0,57,10.0,24.0
10,42,12,24,10.0,47,10.0,24.0
10,78,15,24,10.0,32,10.0,24.0
10,48,15,24,10.0,44,10.0,24.0
10,73,13,24,10.0,42,10.0,24.0
10,46,17,24,10.0,35,10.0,24.0
10,48,18,25,10.0,45,10.0,24.0
10,80,16,24,10.0,85,10.0,24.0
10,96,10,24,10.0,47,10.0,24.0
10,34,25,24,10.0,27,10.0,24.0
11,44,25,24,10.0,54,10.0,24.0
10,69,25,24,10.0,48,10.0,24.0
