(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.01010101010101,54.13636363636363,11.110552763819095,24.136363636363637,10.08695652173913,49.800970873786405,10.81159420289855,24.207729468599034
0.02009998979695949,466.46120293847565,8.91240120198985,0.3904958677685951,0.7460617517328291,360.6060184748799,7.36063852131905,0.9278629606291864
0.14177443280422422,21.597712909900338,2.9853645006916407,0.6248966856757964,0.8637486623623964,18.98962923479234,2.713049671738254,0.9632564355503608
10,68,10.0,24,10.0,39,10.0,24.0
10,44,10,24,10.0,75,10.0,24.0
10,28,10,24,10.0,47,10.0,24.0
10,47,10,24,10.0,50,10.0,24.0
10,63,10,24,10.0,37,10.0,24.0
10,55,10,24,10.0,54,10.0,24.0
10,39,10,24,10.0,64,10.0,24.0
10,37,10,24,10.0,49,10.0,24.0
10,47,10,24,10.0,58,10.0,24.0
10,46,10,24,10.0,38,10.0,24.0
10,43,10,24,10.0,54,10.0,24.0
10,43,10,24,10.0,55,10.0,24.0
10,53,10,24,10.0,43,10.0,24.0
10,42,10,24,10.0,53,10.0,24.0
10,48,10,24,10.0,49,10.0,24.0
10,55,10,24,10.0,42,10.0,24.0
10,38,10,24,10.0,52,10.0,24.0
10,52,10,24,10.0,41,10.0,24.0
10,43,10,24,10.0,49,10.0,24.0
10,44,10,24,10.0,39,10.0,24.0
10,38,10,24,10.0,42,10.0,24.0
10,46,10,24,11.0,43,10.0,24.0
10,43,10,24,10.0,38,10.0,24.0
10,24,10,24,10.0,31,10.0,24.0
10,46,10,24,10.0,25,10.0,24.0
10,39,10,24,10.0,38,10.0,24.0
10,37,10,24,10.0,49,10.0,24.0
10,37,10,24,10.0,45,10.0,24.0
10,37,10,24,10.0,41,10.0,24.0
10,44,10,24,10.0,36,10.0,24.0
10,50,10,24,10.0,42,11.0,24.0
10,38,10,24,10.0,36,10.0,24.0
10,39,10,24,10.0,39,10.0,24.0
10,39,10,24,10.0,33,10.0,24.0
10,43,10,24,10.0,45,10.0,24.0
10,35,10,24,10.0,38,10.0,24.0
10,37,10,24,10.0,52,11.0,24.0
10,43,10,24,10.0,37,10.0,24.0
10,39,11,24,10.0,38,10.0,24.0
10,36,14,24,10.0,34,10.0,24.0
10,45,11,24,10.0,35,10.0,24.0
10,45,12,24,10.0,35,10.0,24.0
10,35,14,24,10.0,49,10.0,24.0
10,42,10,24,10.0,25,10.0,24.0
10,31,18,24,10.0,39,10.0,24.0
10,52,19,24,10.0,35,10.0,24.0
10,49,11,24,10.0,26,11.0,24.0
10,46,15,24,10.0,25,10.0,24.0
10,53,11,24,10.0,58,10.0,24.0
10,38,20,24,10.0,44,10.0,24.0
10,55,19,24,10.0,50,10.0,24.0
10,45,17,24,10.0,42,10.0,24.0
10,39,16,24,10.0,50,10.0,24.0
10,63,15,24,10.0,41,10.0,24.0
10,58,15,24,10.0,30,10.0,24.0
10,60,17,24,10.0,35,10.0,24.0
10,75,17,24,10.0,42,14.0,24.0
10,29,24,24,10.0,55,10.0,24.0
10,72,25,24,10.0,69,10.0,24.0
10,60,16,24,10.0,51,10.0,24.0
10,86,16,24,10.0,49,11.0,24.0
10,42,18,24,10.0,24,10.0,24.0
10,75,25,24,10.0,36,10.0,24.0
10,73,16,24,10.0,68,10.0,24.0
10,90,19,24,10.0,38,10.0,24.0
10,60,16,24,10.0,32,10.0,24.0
10,76,24,24,10.0,69,10.0,24.0
10,68,25,24,10.0,42,10.0,24.0
10,100,10,24,10.0,44,15.0,24.0
10,100,10,24,10.0,30,10.0,24.0
10,100,10,24,10.0,51,10.0,24.0
10,100,10,24,10.0,93,10.0,24.0
10,25,10,24,10.0,55,10.0,24.0
10,100,10,25,13.0,40,10.0,24.0
10,100,10,24,10.0,49,10.0,24.0
10,100,10,24,10.0,38,10.0,24.0
10,25,10,25,10.0,100,10.0,24.0
10,62,10,24,10.0,80,17.0,29.0
10,100,10,24,10.0,24,12.0,24.0
10,91,10,25,10.0,53,20.0,24.0
10,64,10,26,10.0,100,11.0,24.0
10,100,10,28,10.0,100,25.0,24.0
10,100,10,24,10.0,100,11.0,27.0
12,39,10,28,10.0,72,25.0,25.0
10,98,10,26,10.0,64,19.0,24.0
10,52,10,29,10.0,38,25.0,32.0
10,100,10,27,22.0,100,25.0,30.0
10,82,10,24,10.0,100,12.0,24.0
10,45,10,24,10.0,100,18.0,24.0
10,100,10,24,10.0,100,11.0,24.0
10,52,10,25,10.0,99,19.0,25.0
10,100,10,24,10.0,58,20.0,26.0
10,66,10,24,10.0,30,20.0,27.0
10,49,10,24,10.0,100,19.0,24.0
10,100,10,24,10.0,81,10.0,27.0
10,55,10,24,10.0,100,11.0,30.0
10,24,10,24,10.0,67,10.0,24.0
10,100,10,24,10.0,100,15.0,26.0
10,48,10,24,10.0,45,11.0,24.0
10,85,10,24,10.0,76,11.0,24.0
10,100,10,24,10.0,44,10.0,24.0
10,76,10,24,10.0,47,10.0,24.0
10,54,10,24,10.0,45,10.0,24.0
10,56,10,24,10.0,43,10.0,24.0
10,100,10,24,10.0,100,10.0,24.0
10,44,10,24,10.0,24,10.0,24.0
10,41,10,24,10.0,70,10.0,24.0
10,70,10,24,10.0,67,10.0,24.0
10,68,10,24,10.0,44,10.0,24.0
10,80,10,24,10.0,56,10.0,24.0
10,49,10,24,10.0,50,10.0,24.0
10,49,10,24,10.0,27,10.0,24.0
10,26,10,25,10.0,42,10.0,24.0
10,86,10,24,10.0,37,10.0,24.0
10,43,10,24,10.0,52,10.0,24.0
10,55,10,24,10.0,58,10.0,24.0
10,35,10,24,10.0,70,10.0,24.0
10,42,10,24,10.0,53,10.0,24.0
10,59,10,24,10.0,52,10.0,24.0
10,57,10,24,10.0,57,10.0,24.0
10,56,10,24,10.0,63,10.0,24.0
10,66,10,24,10.0,61,10.0,24.0
10,34,10,24,10.0,51,10.0,24.0
10,42,10,24,10.0,48,10.0,24.0
10,71,10,24,10.0,43,10.0,24.0
10,53,10,24,10.0,60,10.0,24.0
10,63,10,24,10.0,55,10.0,25.0
10,56,10,24,10.0,56,10.0,24.0
10,47,10,24,10.0,28,10.0,24.0
10,56,10,24,10.0,37,10.0,24.0
10,38,10,24,10.0,82,10.0,24.0
10,41,10,24,10.0,50,10.0,24.0
10,45,10,24,10.0,76,10.0,24.0
10,42,12,24,10.0,57,10.0,24.0
10,42,11,24,10.0,56,10.0,24.0
10,33,10,24,10.0,45,10.0,24.0
10,34,11,24,10.0,41,10.0,24.0
10,35,10,24,10.0,25,10.0,24.0
10,42,10,24,10.0,67,10.0,24.0
10,34,12,24,10.0,48,10.0,24.0
10,27,10,24,10.0,44,10.0,24.0
10,37,10,24,10.0,38,10.0,24.0
10,53,10,24,10.0,31,10.0,24.0
10,41,10,24,10.0,35,10.0,24.0
10,32,10,24,10.0,40,10.0,24.0
10,42,13,24,10.0,41,10.0,24.0
