step_time,step_stopped,step_wait_time,accumulated_wait_time,gneJ00_passed,gneJ9_passed
301.0,0,1450.0,1450.0,81,93
302.0,1,15.0,1465.0,81,93
303.0,0,15.0,1480.0,81,94
304.0,1,15.0,1495.0,81,95
305.0,1,16.0,1511.0,81,95
306.0,2,17.0,1528.0,81,95
307.0,1,17.0,1545.0,81,95
308.0,3,20.0,1565.0,81,96
309.0,0,19.0,1584.0,81,96
310.0,2,20.0,1604.0,81,96
311.0,2,22.0,1626.0,81,96
312.0,1,22.0,1648.0,81,96
313.0,1,19.0,1667.0,81,96
314.0,3,18.0,1685.0,81,96
315.0,1,16.0,1701.0,81,96
316.0,3,16.0,1717.0,82,97
317.0,2,16.0,1733.0,83,98
318.0,4,20.0,1753.0,83,98
319.0,3,22.0,1775.0,84,99
320.0,0,21.0,1796.0,85,100
321.0,2,23.0,1819.0,86,100
322.0,1,23.0,1842.0,86,101
323.0,1,23.0,1865.0,87,102
324.0,3,26.0,1891.0,87,102
325.0,2,27.0,1918.0,87,102
326.0,1,27.0,1945.0,87,102
327.0,3,30.0,1975.0,88,103
328.0,0,28.0,2003.0,88,103
329.0,2,30.0,2033.0,88,103
330.0,3,33.0,2066.0,88,103
331.0,1,34.0,2100.0,88,103
332.0,2,36.0,2136.0,88,103
333.0,1,35.0,2171.0,88,103
334.0,0,34.0,2205.0,88,103
335.0,4,38.0,2243.0,88,103
336.0,0,36.0,2279.0,88,103
337.0,1,37.0,2316.0,88,103
338.0,2,39.0,2355.0,88,103
339.0,0,36.0,2391.0,88,103
340.0,1,37.0,2428.0,88,103
341.0,1,37.0,2465.0,88,103
342.0,0,37.0,2502.0,89,103
343.0,1,37.0,2539.0,90,104
344.0,2,39.0,2578.0,90,104
345.0,2,41.0,2619.0,90,104
346.0,0,41.0,2660.0,91,104
347.0,3,44.0,2704.0,91,104
348.0,1,45.0,2749.0,91,104
349.0,0,44.0,2793.0,91,104
350.0,2,45.0,2838.0,91,104
351.0,2,42.0,2880.0,91,104
352.0,2,40.0,2920.0,91,104
353.0,2,39.0,2959.0,91,104
354.0,2,38.0,2997.0,92,104
355.0,2,36.0,3033.0,93,105
356.0,0,30.0,3063.0,93,106
357.0,3,30.0,3093.0,94,107
358.0,1,28.0,3121.0,94,107
359.0,4,30.0,3151.0,95,108
360.0,2,26.0,3177.0,95,109
361.0,1,24.0,3201.0,96,110
362.0,3,26.0,3227.0,97,110
363.0,3,24.0,3251.0,97,110
364.0,2,22.0,3273.0,98,112
365.0,2,19.0,3292.0,99,113
366.0,2,17.0,3309.0,99,113
367.0,2,18.0,3327.0,100,114
368.0,2,17.0,3344.0,101,115
369.0,3,19.0,3363.0,101,115
370.0,0,14.0,3377.0,103,116
371.0,1,15.0,3392.0,103,117
372.0,0,13.0,3405.0,104,118
373.0,1,13.0,3418.0,105,118
374.0,1,13.0,3431.0,105,119
375.0,0,12.0,3443.0,106,120
376.0,1,11.0,3454.0,107,120
377.0,1,10.0,3464.0,107,121
378.0,3,12.0,3476.0,107,122
379.0,0,10.0,3486.0,109,122
380.0,1,10.0,3496.0,109,123
381.0,0,8.0,3504.0,109,124
382.0,2,9.0,3513.0,110,124
383.0,2,11.0,3524.0,110,125
384.0,0,9.0,3533.0,110,126
385.0,0,8.0,3541.0,111,127
386.0,0,8.0,3549.0,111,127
387.0,0,8.0,3557.0,112,128
388.0,3,11.0,3568.0,113,129
389.0,1,10.0,3578.0,113,129
390.0,0,10.0,3588.0,114,130
391.0,2,11.0,3599.0,114,131
392.0,0,11.0,3610.0,114,131
393.0,1,12.0,3622.0,115,132
394.0,0,12.0,3634.0,115,132
395.0,0,12.0,3646.0,115,132
396.0,0,12.0,3658.0,116,133
397.0,0,12.0,3670.0,116,134
398.0,0,12.0,3682.0,116,134
399.0,0,12.0,3694.0,116,135
400.0,0,12.0,3706.0,117,136
401.0,0,12.0,3718.0,118,136
402.0,0,12.0,3730.0,119,136
403.0,0,12.0,3742.0,119,136
404.0,0,12.0,3754.0,120,137
405.0,0,12.0,3766.0,121,137
406.0,1,13.0,3779.0,121,138
407.0,0,12.0,3791.0,121,139
408.0,0,12.0,3803.0,122,139
409.0,0,12.0,3815.0,122,140
410.0,1,13.0,3828.0,122,141
411.0,0,13.0,3841.0,122,141
412.0,0,13.0,3854.0,122,141
413.0,0,13.0,3867.0,122,141
414.0,0,13.0,3880.0,122,141
415.0,3,16.0,3896.0,122,142
416.0,1,16.0,3912.0,122,142
417.0,1,17.0,3929.0,122,143
418.0,0,17.0,3946.0,122,144
419.0,3,19.0,3965.0,122,144
420.0,2,21.0,3986.0,122,145
421.0,0,19.0,4005.0,122,146
422.0,0,15.0,4020.0,122,146
423.0,1,14.0,4034.0,123,146
424.0,2,15.0,4049.0,124,146
425.0,1,15.0,4064.0,124,147
426.0,1,15.0,4079.0,124,148
427.0,0,15.0,4094.0,126,148
428.0,1,16.0,4110.0,126,148
429.0,2,17.0,4127.0,128,149
430.0,1,18.0,4145.0,128,149
431.0,2,20.0,4165.0,128,150
432.0,0,19.0,4184.0,128,150
433.0,3,22.0,4206.0,128,150
434.0,1,19.0,4225.0,128,151
435.0,1,18.0,4243.0,128,151
436.0,1,17.0,4260.0,128,151
437.0,3,20.0,4280.0,128,152
438.0,0,18.0,4298.0,128,152
439.0,2,20.0,4318.0,128,153
440.0,0,20.0,4338.0,128,153
441.0,2,22.0,4360.0,128,155
442.0,0,22.0,4382.0,128,155
443.0,3,25.0,4407.0,128,156
444.0,0,24.0,4431.0,128,157
445.0,0,24.0,4455.0,129,157
446.0,2,26.0,4481.0,129,157
447.0,0,22.0,4503.0,129,158
448.0,3,23.0,4526.0,129,158
449.0,0,21.0,4547.0,129,158
450.0,3,24.0,4571.0,129,158
451.0,1,24.0,4595.0,130,158
452.0,1,25.0,4620.0,131,158
453.0,1,26.0,4646.0,131,158
454.0,2,28.0,4674.0,133,158
455.0,1,27.0,4701.0,133,158
456.0,1,28.0,4729.0,133,158
457.0,1,29.0,4758.0,134,158
458.0,1,30.0,4788.0,134,158
459.0,2,30.0,4818.0,134,158
460.0,2,29.0,4847.0,134,158
461.0,2,28.0,4875.0,134,158
462.0,0,27.0,4902.0,134,158
463.0,2,27.0,4929.0,135,158
464.0,2,27.0,4956.0,136,158
465.0,2,27.0,4983.0,136,158
466.0,2,27.0,5010.0,138,158
467.0,1,27.0,5037.0,138,158
468.0,1,26.0,5063.0,140,158
469.0,0,24.0,5087.0,140,158
470.0,2,26.0,5113.0,141,158
471.0,2,26.0,5139.0,141,158
472.0,0,22.0,5161.0,142,158
473.0,2,21.0,5182.0,143,158
474.0,2,19.0,5201.0,143,158
475.0,1,18.0,5219.0,144,159
476.0,3,20.0,5239.0,145,159
477.0,2,18.0,5257.0,145,161
478.0,3,19.0,5276.0,146,161
479.0,0,16.0,5292.0,147,161
480.0,2,16.0,5308.0,147,163
481.0,1,16.0,5324.0,148,163
482.0,3,16.0,5340.0,149,164
483.0,3,16.0,5356.0,149,165
484.0,1,14.0,5370.0,150,165
485.0,1,14.0,5384.0,151,166
486.0,4,16.0,5400.0,151,166
487.0,0,13.0,5413.0,152,166
488.0,2,13.0,5426.0,152,166
489.0,1,12.0,5438.0,152,167
490.0,1,10.0,5448.0,153,167
491.0,1,10.0,5458.0,153,168
492.0,2,10.0,5468.0,153,168
493.0,0,7.0,5475.0,154,168
494.0,2,8.0,5483.0,154,169
495.0,3,9.0,5492.0,155,169
496.0,1,9.0,5501.0,156,170
497.0,1,9.0,5510.0,156,170
498.0,0,8.0,5518.0,157,170
499.0,1,8.0,5526.0,157,171
500.0,1,9.0,5535.0,158,171
501.0,0,9.0,5544.0,159,171
502.0,0,9.0,5553.0,159,171
503.0,0,9.0,5562.0,160,172
504.0,0,9.0,5571.0,160,172
505.0,0,9.0,5580.0,160,173
506.0,0,9.0,5589.0,161,174
507.0,0,9.0,5598.0,161,175
508.0,0,9.0,5607.0,162,175
509.0,1,10.0,5617.0,162,176
510.0,2,12.0,5629.0,162,177
511.0,0,12.0,5641.0,162,177
512.0,0,12.0,5653.0,163,177
