(TS : gneJ00  Phase : 0),(TS : gneJ00  Phase : 2),(TS : gneJ00  Phase : 4),(TS : gneJ00  Phase : 6),(TS : gneJ9  Phase : 0),(TS : gneJ9  Phase : 2),(TS : gneJ9  Phase : 4),(TS : gneJ9  Phase : 6)
10.010050251256281,54.30653266331658,10.535,24.01005025125628,10.009661835748792,50.286407766990294,10.647342995169081,24.014492753623188
0.009949243705967021,450.2427211434055,0.918775,0.009949243705967021,0.009568484678755627,337.93253369780376,6.160657191533058,0.01428271371560597
0.09974589568482015,21.218923656571402,0.9585275165586015,0.09974589568482015,0.09781863155225402,18.382941377750292,2.4820671206744307,0.11951030798891771
10,60,10.0,24,10.0,40,10.0,24.0
10,64,10,24,10.0,42,10.0,24.0
10,56,10,24,10.0,45,10.0,24.0
10,52,10,24,10.0,47,10.0,24.0
10,57,10,24,10.0,49,10.0,24.0
10,60,10,24,10.0,52,10.0,24.0
10,52,13,24,10.0,53,10.0,24.0
10,31,10,24,10.0,53,10.0,24.0
10,66,10,24,10.0,46,10.0,24.0
10,63,10,24,10.0,57,10.0,24.0
10,46,10,24,10.0,56,10.0,24.0
10,72,10,24,10.0,55,10.0,24.0
10,55,10,24,10.0,58,10.0,24.0
10,88,10,24,10.0,56,10.0,24.0
10,87,10,24,10.0,43,10.0,24.0
10,59,11,24,10.0,59,10.0,24.0
10,70,10,24,10.0,58,11.0,24.0
10,26,13,24,10.0,55,11.0,24.0
10,100,10,24,10.0,74,10.0,24.0
10,77,10,24,10.0,75,25.0,24.0
10,100,10,24,10.0,76,11.0,24.0
10,24,10,24,10.0,97,14.0,24.0
10,100,10,24,10.0,96,12.0,24.0
10,68,10,24,10.0,34,10.0,24.0
10,100,10,24,10.0,50,11.0,24.0
11,100,10,24,10.0,100,10.0,24.0
10,100,10,24,10.0,100,13.0,24.0
10,100,11,24,10.0,37,12.0,24.0
10,61,10,24,10.0,100,25.0,24.0
10,56,10,24,10.0,43,25.0,24.0
10,93,13,24,10.0,85,17.0,24.0
10,99,11,24,10.0,58,25.0,24.0
10,98,10,24,10.0,47,10.0,24.0
10,34,11,24,10.0,100,15.0,24.0
10,100,13,24,10.0,94,10.0,24.0
10,100,10,24,10.0,44,23.0,24.0
10,47,10,24,10.0,71,10.0,24.0
10,85,13,24,10.0,100,12.0,24.0
10,100,10,24,11.0,37,13.0,24.0
11,47,10,24,10.0,97,18.0,24.0
10,70,11,24,10.0,29,11.0,24.0
10,70,10,24,10.0,50,14.0,24.0
10,83,10,24,10.0,60,17.0,24.0
10,63,10,24,10.0,48,10.0,24.0
10,36,10,24,10.0,77,10.0,24.0
10,100,12,24,10.0,81,10.0,24.0
10,30,10,24,10.0,64,10.0,24.0
10,100,11,24,10.0,35,10.0,24.0
10,100,10,24,10.0,88,10.0,24.0
