departed,travel_time
1.0,175.0
107.0,74.0
213.0,143.0
319.0,214.0
425.0,109.0
637.0,78.0
531.0,185.0
743.0,157.0
954.0,121.0
849.0,227.0
1060.0,193.0
1166.0,90.0
1272.0,163.0
1378.0,237.0
1484.0,134.0
1696.0,101.0
1590.0,209.0
1801.0,176.0
1907.0,72.0
2013.0,142.0
2119.0,220.0
2225.0,114.0
2437.0,79.0
2331.0,186.0
2543.0,153.0
2754.0,125.0
2649.0,232.0
2966.0,89.0
2860.0,200.0
3072.0,160.0
3178.0,238.0
3284.0,137.0
3390.0,206.0
3496.0,101.0
3601.0,174.0
3751.0,200.0
3901.0,233.0
4051.0,83.0
4201.0,116.0
4351.0,146.0
4501.0,171.0
4651.0,201.0
4801.0,229.0
4951.0,83.0
5101.0,109.0
5251.0,145.0
5401.0,173.0
5551.0,205.0
5701.0,230.0
5851.0,86.0
6001.0,114.0
6151.0,142.0
6301.0,173.0
6451.0,204.0
6601.0,232.0
6751.0,84.0
6901.0,116.0
7051.0,149.0
7201.0,171.0
7345.0,209.0
7489.0,68.0
7633.0,102.0
7777.0,136.0
7921.0,171.0
8065.0,209.0
8209.0,83.0
8353.0,105.0
8497.0,139.0
8641.0,173.0
8929.0,66.0
8785.0,211.0
9073.0,103.0
9217.0,137.0
9361.0,171.0
9505.0,210.0
9649.0,76.0
9793.0,99.0
9937.0,135.0
10081.0,174.0
10225.0,208.0
10369.0,69.0
10513.0,99.0
10657.0,137.0
10814.0,174.0
10827.0,161.0
10801.0,189.0
10840.0,150.0
10866.0,127.0
10879.0,114.0
10853.0,142.0
10892.0,103.0
10905.0,91.0
10970.0,196.0
10918.0,249.0
10996.0,172.0
10931.0,238.0
11048.0,123.0
10957.0,216.0
11073.0,100.0
10983.0,191.0
11022.0,154.0
11009.0,168.0
11035.0,142.0
11086.0,93.0
11060.0,121.0
11151.0,192.0
11125.0,219.0
11112.0,233.0
11190.0,155.0
11164.0,184.0
11216.0,132.0
11099.0,250.0
11229.0,122.0
11138.0,214.0
11268.0,84.0
11255.0,98.0
11203.0,152.0
11242.0,115.0
11281.0,249.0
11319.0,214.0
11332.0,201.0
11345.0,188.0
