step_time,step_stopped,step_wait_time,accumulated_wait_time
222.0,0,3.0,1424.0
223.0,0,3.0,1427.0
224.0,0,3.0,1430.0
225.0,0,3.0,1433.0
226.0,0,2.0,1435.0
227.0,0,2.0,1437.0
228.0,0,2.0,1439.0
229.0,0,2.0,1441.0
230.0,0,2.0,1443.0
231.0,0,2.0,1445.0
232.0,0,2.0,1447.0
233.0,0,2.0,1449.0
234.0,1,3.0,1452.0
235.0,0,3.0,1455.0
236.0,0,3.0,1458.0
237.0,1,4.0,1462.0
238.0,0,4.0,1466.0
239.0,0,4.0,1470.0
240.0,0,4.0,1474.0
241.0,0,4.0,1478.0
242.0,0,4.0,1482.0
243.0,0,4.0,1486.0
244.0,0,4.0,1490.0
245.0,0,4.0,1494.0
246.0,0,4.0,1498.0
247.0,1,5.0,1503.0
248.0,0,5.0,1508.0
249.0,0,5.0,1513.0
250.0,0,5.0,1518.0
251.0,0,5.0,1523.0
252.0,0,5.0,1528.0
253.0,1,6.0,1534.0
254.0,0,5.0,1539.0
255.0,0,5.0,1544.0
256.0,1,6.0,1550.0
257.0,1,7.0,1557.0
258.0,0,7.0,1564.0
259.0,0,5.0,1569.0
260.0,0,4.0,1573.0
261.0,0,4.0,1577.0
262.0,0,4.0,1581.0
263.0,0,4.0,1585.0
264.0,0,4.0,1589.0
265.0,0,4.0,1593.0
266.0,0,4.0,1597.0
267.0,0,4.0,1601.0
268.0,0,4.0,1605.0
269.0,0,4.0,1609.0
270.0,0,3.0,1612.0
271.0,0,3.0,1615.0
272.0,2,5.0,1620.0
273.0,0,4.0,1624.0
274.0,1,5.0,1629.0
275.0,0,5.0,1634.0
276.0,0,5.0,1639.0
277.0,0,5.0,1644.0
278.0,1,6.0,1650.0
279.0,0,6.0,1656.0
280.0,0,6.0,1662.0
281.0,0,6.0,1668.0
282.0,0,6.0,1674.0
283.0,0,6.0,1680.0
284.0,0,6.0,1686.0
285.0,0,6.0,1692.0
286.0,0,6.0,1698.0
287.0,0,6.0,1704.0
288.0,0,6.0,1710.0
289.0,1,7.0,1717.0
290.0,0,7.0,1724.0
291.0,2,9.0,1733.0
292.0,0,8.0,1741.0
293.0,1,9.0,1750.0
294.0,0,8.0,1758.0
295.0,1,9.0,1767.0
296.0,0,9.0,1776.0
297.0,0,9.0,1785.0
298.0,2,11.0,1796.0
299.0,0,9.0,1805.0
300.0,3,12.0,1817.0
301.0,0,11.0,1828.0
302.0,1,12.0,1840.0
303.0,0,12.0,1852.0
304.0,0,12.0,1864.0
305.0,0,12.0,1876.0
306.0,0,12.0,1888.0
307.0,0,12.0,1900.0
308.0,0,12.0,1912.0
309.0,0,12.0,1924.0
310.0,0,12.0,1936.0
311.0,0,12.0,1948.0
312.0,0,12.0,1960.0
313.0,2,14.0,1974.0
314.0,0,14.0,1988.0
315.0,1,15.0,2003.0
316.0,0,14.0,2017.0
317.0,0,13.0,2030.0
318.0,0,12.0,2042.0
319.0,0,12.0,2054.0
320.0,1,13.0,2067.0
321.0,0,13.0,2080.0
322.0,0,13.0,2093.0
323.0,0,13.0,2106.0
324.0,1,14.0,2120.0
325.0,0,14.0,2134.0
326.0,0,14.0,2148.0
327.0,0,14.0,2162.0
328.0,0,14.0,2176.0
329.0,0,14.0,2190.0
330.0,0,14.0,2204.0
331.0,0,8.0,2212.0
332.0,0,6.0,2218.0
333.0,1,4.0,2222.0
334.0,0,3.0,2225.0
335.0,0,3.0,2228.0
336.0,0,3.0,2231.0
337.0,0,3.0,2234.0
338.0,0,3.0,2237.0
339.0,0,3.0,2240.0
340.0,1,4.0,2244.0
341.0,0,4.0,2248.0
342.0,2,6.0,2254.0
343.0,0,6.0,2260.0
344.0,1,7.0,2267.0
345.0,0,7.0,2274.0
346.0,1,8.0,2282.0
347.0,0,8.0,2290.0
348.0,0,8.0,2298.0
349.0,1,9.0,2307.0
350.0,1,10.0,2317.0
351.0,0,9.0,2326.0
352.0,0,9.0,2335.0
353.0,1,10.0,2345.0
354.0,2,12.0,2357.0
355.0,0,11.0,2368.0
356.0,2,13.0,2381.0
357.0,0,12.0,2393.0
358.0,1,13.0,2406.0
359.0,0,13.0,2419.0
360.0,0,13.0,2432.0
361.0,0,13.0,2445.0
362.0,0,13.0,2458.0
363.0,0,13.0,2471.0
364.0,0,11.0,2482.0
365.0,0,10.0,2492.0
366.0,1,10.0,2502.0
367.0,0,9.0,2511.0
368.0,0,9.0,2520.0
